POD,CPU,MEMORY,TIME
front-end-55b89655c7-q4tvn,1m,71Mi,1701445681.5985653
front-end-55b89655c7-q4tvn,24m,63Mi,1701445703.4651518
front-end-55b89655c7-q4tvn,55m,80Mi,1701445725.322925
front-end-55b89655c7-q4tvn,65m,93Mi,1701445747.130806
front-end-55b89655c7-q4tvn,54m,96Mi,1701445768.9224935
front-end-55b89655c7-q4tvn,64m,98Mi,1701445790.7994442
front-end-55b89655c7-q4tvn,69m,102Mi,1701445812.89246
front-end-55b89655c7-q4tvn,54m,103Mi,1701445835.092078
front-end-55b89655c7-q4tvn,57m,103Mi,1701445857.1888475
front-end-55b89655c7-q4tvn,58m,102Mi,1701445879.2315671
front-end-55b89655c7-q4tvn,57m,101Mi,1701445901.249795
front-end-55b89655c7-q4tvn,50m,96Mi,1701445923.2575083
front-end-55b89655c7-q4tvn,38m,97Mi,1701445945.449025
front-end-55b89655c7-q4tvn,64m,99Mi,1701445967.2936924
front-end-55b89655c7-q4tvn,50m,99Mi,1701445989.1126814
front-end-55b89655c7-q4tvn,74m,102Mi,1701446010.9895322
front-end-55b89655c7-q4tvn,73m,101Mi,1701446032.8399923
front-end-55b89655c7-q4tvn,82m,100Mi,1701446054.759618
front-end-55b89655c7-q4tvn,64m,102Mi,1701446076.700976
front-end-55b89655c7-q4tvn,68m,101Mi,1701446098.7265036
front-end-55b89655c7-q4tvn,66m,101Mi,1701446120.8221362
front-end-55b89655c7-q4tvn,64m,100Mi,1701446142.9647808
front-end-55b89655c7-q4tvn,59m,102Mi,1701446165.1166017
front-end-55b89655c7-q4tvn,44m,101Mi,1701446187.1344817
front-end-55b89655c7-q4tvn,41m,94Mi,1701446209.2255285
front-end-55b89655c7-q4tvn,41m,94Mi,1701446231.1178167
front-end-55b89655c7-q4tvn,63m,99Mi,1701446252.95578
front-end-55b89655c7-q4tvn,63m,99Mi,1701446274.903311
front-end-55b89655c7-q4tvn,51m,100Mi,1701446296.6830046
front-end-55b89655c7-q4tvn,51m,100Mi,1701446318.5216646
front-end-55b89655c7-q4tvn,34m,99Mi,1701446340.4489398
