POD,CPU,MEMORY,TIME
front-end-55b89655c7-q5xcm,2m,71Mi,1701453689.5892093
front-end-55b89655c7-q5xcm,49m,71Mi,1701453711.3904114
front-end-55b89655c7-q5xcm,81m,101Mi,1701453733.2913747
front-end-55b89655c7-q5xcm,52m,103Mi,1701453755.1245718
front-end-55b89655c7-q5xcm,58m,109Mi,1701453777.0437837
front-end-55b89655c7-q5xcm,56m,111Mi,1701453798.9269593
front-end-55b89655c7-q5xcm,73m,116Mi,1701453820.7844489
front-end-55b89655c7-q5xcm,72m,117Mi,1701453842.6259596
front-end-55b89655c7-q5xcm,69m,107Mi,1701453864.4365892
front-end-55b89655c7-q5xcm,49m,108Mi,1701453886.4046707
front-end-55b89655c7-q5xcm,54m,106Mi,1701453908.4622674
front-end-55b89655c7-q5xcm,49m,102Mi,1701453930.5077791
front-end-55b89655c7-q5xcm,39m,102Mi,1701453952.5261726
front-end-55b89655c7-q5xcm,41m,101Mi,1701453974.5700786
front-end-55b89655c7-q5xcm,55m,101Mi,1701453996.7141345
front-end-55b89655c7-q5xcm,55m,103Mi,1701454018.8218305
front-end-55b89655c7-q5xcm,51m,103Mi,1701454040.6798923
front-end-55b89655c7-q5xcm,62m,101Mi,1701454062.48919
front-end-55b89655c7-q5xcm,55m,102Mi,1701454084.265408
front-end-55b89655c7-q5xcm,55m,102Mi,1701454106.12095
front-end-55b89655c7-q5xcm,75m,98Mi,1701454127.8927796
front-end-55b89655c7-q5xcm,82m,104Mi,1701454149.6904883
front-end-55b89655c7-q5xcm,64m,104Mi,1701454171.5035813
front-end-55b89655c7-q5xcm,72m,103Mi,1701454193.3302987
front-end-55b89655c7-q5xcm,69m,105Mi,1701454215.2378948
front-end-55b89655c7-q5xcm,71m,104Mi,1701454237.1824448
front-end-55b89655c7-q5xcm,60m,106Mi,1701454259.193692
front-end-55b89655c7-q5xcm,53m,103Mi,1701454281.2907999
front-end-55b89655c7-q5xcm,70m,104Mi,1701454303.376362
front-end-55b89655c7-q5xcm,66m,106Mi,1701454325.5324697
front-end-55b89655c7-q5xcm,61m,105Mi,1701454347.6047947
front-end-55b89655c7-q5xcm,84m,104Mi,1701454369.8123972
front-end-55b89655c7-q5xcm,79m,105Mi,1701454391.7325873
front-end-55b89655c7-q5xcm,88m,102Mi,1701454413.6131427
front-end-55b89655c7-q5xcm,80m,104Mi,1701454435.584266
front-end-55b89655c7-q5xcm,57m,105Mi,1701454457.468123
front-end-55b89655c7-q5xcm,67m,104Mi,1701454479.295652
front-end-55b89655c7-q5xcm,57m,101Mi,1701454501.5700855
front-end-55b89655c7-q5xcm,57m,101Mi,1701454523.6047716
front-end-55b89655c7-q5xcm,43m,103Mi,1701454545.9302068
front-end-55b89655c7-q5xcm,43m,103Mi,1701454568.0132496
front-end-55b89655c7-q5xcm,43m,105Mi,1701454590.037027
front-end-55b89655c7-q5xcm,45m,105Mi,1701454612.1469483
front-end-55b89655c7-q5xcm,25m,106Mi,1701454634.2146297
front-end-55b89655c7-q5xcm,35m,105Mi,1701454656.2486026
front-end-55b89655c7-q5xcm,52m,103Mi,1701454678.0151196
front-end-55b89655c7-q5xcm,35m,104Mi,1701454699.7593963
front-end-55b89655c7-q5xcm,30m,106Mi,1701454721.5357811
front-end-55b89655c7-q5xcm,15m,105Mi,1701454743.2548804
front-end-55b89655c7-q5xcm,1m,105Mi,1701454765.0806067
