Resource,Cooling Time,Current Time,Replicas,Mode,,
21.46341463,1701444262,1701444262,2,horizontal,1,6
45.25,1701444262,1701444283,,vertical,2,3.437113402
64.75,1701444262,1701444305,,vertical,2,
81.75,1701444262,1701444326,,vertical,2,
90.75,1701444262,1701444347,,vertical,2,
84.75,1701444262,1701444369,,vertical,2,
68.53658537,1701444390,1701444390,1,horizontal,2,
61.5,1701444390,1701444412,,vertical,1,
70.75,1701444390,1701444433,,vertical,1,
84.25,1701444390,1701444454,,vertical,1,
92.25,1701444390,1701444475,,vertical,1,
102,1701444390,1701444496,,vertical,1,
109.75,1701444390,1701444517,,vertical,1,
106.097561,1701444539,1701444539,2,horizontal,1,
109.25,1701444539,1701444560,,vertical,2,
109.75,1701444539,1701444581,,vertical,2,
110.25,1701444539,1701444602,,vertical,2,
106.25,1701444539,1701444624,,vertical,2,
92.25,1701444539,1701444645,,vertical,2,
76.58536585,1701444666,1701444666,1,horizontal,2,
69.5,1701444666,1701444687,,vertical,1,
70.25,1701444666,1701444709,,vertical,1,
76.75,1701444666,1701444730,,vertical,1,
89,1701444666,1701444751,,vertical,1,
101.75,1701444666,1701444772,,vertical,1,
107.5609756,1701444793,1701444793,2,horizontal,1,
115.5,1701444793,1701444814,,vertical,2,
115.75,1701444793,1701444836,,vertical,2,
109.75,1701444793,1701444857,,vertical,2,
105.25,1701444793,1701444878,,vertical,2,
99.5,1701444793,1701444900,,vertical,2,
91.75,1701444793,1701444921,,vertical,2,
91.2195122,1701444942,1701444942,3,horizontal,2,
97.75,1701444942,1701444964,,vertical,3,
101.25,1701444942,1701444985,,vertical,3,
97.5,1701444942,1701445007,,vertical,3,
94.25,1701444942,1701445028,,vertical,3,
85.5,1701444942,1701445050,,vertical,3,
71.95121951,1701445071,1701445071,2,horizontal,3,
67,1701445071,1701445093,,vertical,2,
72.25,1701445071,1701445114,,vertical,2,
77,1701445071,1701445136,,vertical,2,
84.75,1701445071,1701445157,,vertical,2,
98.75,1701445071,1701445178,,vertical,2,
102.4390244,1701445200,1701445200,3,horizontal,2,
107.5,1701445200,1701445221,,vertical,3,
110.25,1701445200,1701445243,,vertical,3,
107.5,1701445200,1701445264,,vertical,3,
104,1701445200,1701445286,,vertical,3,
98.5,1701445200,1701445308,,vertical,3,
97,1701445200,1701445329,,vertical,3,
94.63414634,1701445351,1701445351,4,horizontal,3,
98.25,1701445351,1701445372,,vertical,4,
95.75,1701445351,1701445394,,vertical,4,
102.75,1701445351,1701445416,,vertical,4,
96.25,1701445351,1701445438,,vertical,4,
88,1701445351,1701445460,,vertical,4,
77.31707317,1701445482,1701445482,3,horizontal,4,
71.5,1701445482,1701445504,,vertical,3,
61,1701445482,1701445526,,vertical,3,
64.25,1701445482,1701445547,,vertical,3,
66.5,1701445482,1701445569,,vertical,3,
75,1701445482,1701445590,,vertical,3,
84,1701445482,1701445612,,vertical,3,
92.92682927,1701445634,1701445634,4,horizontal,3,
98.25,1701445634,1701445655,,vertical,4,
102,1701445634,1701445682,,vertical,4,
86.75,1701445634,1701445703,,vertical,4,
82.25,1701445634,1701445725,,vertical,4,
72.25,1701445634,1701445747,,vertical,4,
69,1701445634,1701445769,,vertical,4,
68.29268293,1701445791,1701445791,5,horizontal,4,
82.75,1701445791,1701445813,,vertical,5,
84,1701445791,1701445835,,vertical,5,
82.75,1701445791,1701445857,,vertical,5,
81.5,1701445791,1701445879,,vertical,5,
74.25,1701445791,1701445901,,vertical,5,
67.80487805,1701445923,1701445923,4,horizontal,5,
66,1701445923,1701445945,,vertical,4,
67.75,1701445923,1701445967,,vertical,4,
65.75,1701445923,1701445989,,vertical,4,
67.5,1701445923,1701446011,,vertical,4,
70.5,1701445923,1701446033,,vertical,4,
79.51219512,1701446055,1701446055,5,horizontal,4,
84,1701446055,1701446077,,vertical,5,
92,1701446055,1701446099,,vertical,5,
92.25,1701446055,1701446121,,vertical,5,
92,1701446055,1701446143,,vertical,5,
81,1701446055,1701446165,,vertical,5,
75.12195122,1701446187,1701446187,4,horizontal,5,
66.75,1701446187,1701446209,,vertical,4,
66.75,1701446187,1701446231,,vertical,4,
66,1701446187,1701446253,,vertical,4,
69.5,1701446187,1701446275,,vertical,4,
68.75,1701446187,1701446297,,vertical,4,
68.29268293,1701446319,1701446319,3,horizontal,4,
68.5,1701446319,1701446340,,vertical,3,
68.25,1701446319,1701446362,,vertical,3,
68.5,1701446319,1701446384,,vertical,3,
76.75,1701446319,1701446406,,vertical,3,
83,1701446319,1701446428,,vertical,3,
87.75,1701446319,1701446449,,vertical,3,
90.25,1701446319,1701446471,,vertical,3,
88.75,1701446319,1701446492,,vertical,3,
87.75,1701446319,1701446514,,vertical,3,
86.5,1701446319,1701446536,,vertical,3,
86.75,1701446319,1701446557,,vertical,3,
86,1701446319,1701446579,,vertical,3,
88,1701446319,1701446601,,vertical,3,
89.75609756,1701446622,1701446622,4,horizontal,3,
89,1701446622,1701446644,,vertical,4,
88.25,1701446622,1701446666,,vertical,4,
84.75,1701446622,1701446687,,vertical,4,
82.25,1701446622,1701446709,,vertical,4,
74.25,1701446622,1701446731,,vertical,4,
71.95121951,1701446753,1701446753,3,horizontal,4,
71,1701446753,1701446775,,vertical,3,
75.5,1701446753,1701446797,,vertical,3,
78.25,1701446753,1701446818,,vertical,3,
83.25,1701446753,1701446840,,vertical,3,
89.5,1701446753,1701446861,,vertical,3,
94.14634146,1701446883,1701446883,4,horizontal,3,
101.5,1701446883,1701446905,,vertical,4,
105.25,1701446883,1701446927,,vertical,4,
109.25,1701446883,1701446949,,vertical,4,
107,1701446883,1701446970,,vertical,4,
100.5,1701446883,1701446992,,vertical,4,
93.75,1701446883,1701447014,,vertical,4,
91.70731707,1701447036,1701447036,5,horizontal,4,
88.75,1701447036,1701447058,,vertical,5,
87.5,1701447036,1701447080,,vertical,5,
90.25,1701447036,1701447102,,vertical,5,
90.25,1701447036,1701447124,,vertical,5,
84.75,1701447036,1701447146,,vertical,5,
79.02439024,1701447168,1701447168,4,horizontal,5,
79.75,1701447168,1701447190,,vertical,4,
78,1701447168,1701447212,,vertical,4,
77.25,1701447168,1701447234,,vertical,4,
80,1701447168,1701447256,,vertical,4,
86,1701447168,1701447278,,vertical,4,
88,1701447168,1701447300,,vertical,4,
89.75,1701447168,1701447322,,vertical,4,
91,1701447168,1701447343,,vertical,4,
89.5,1701447168,1701447365,,vertical,4,
88.5,1701447168,1701447387,,vertical,4,
84.3902439,1701447409,1701447409,3,horizontal,4,
86.25,1701447409,1701447431,,vertical,3,
90,1701447409,1701447453,,vertical,3,
92.75,1701447409,1701447474,,vertical,3,
93.5,1701447409,1701447496,,vertical,3,
98.5,1701447409,1701447517,,vertical,3,
100.9756098,1701447539,1701447539,4,horizontal,3,
106.5,1701447539,1701447560,,vertical,4,
107.5,1701447539,1701447582,,vertical,4,
108,1701447539,1701447604,,vertical,4,
105.75,1701447539,1701447626,,vertical,4,
100.75,1701447539,1701447648,,vertical,4,
97,1701447539,1701447670,,vertical,4,
92.25,1701447539,1701447692,,vertical,4,
86.5,1701447539,1701447714,,vertical,4,
81.70731707,1701447736,1701447736,3,horizontal,4,
83.75,1701447736,1701447758,,vertical,3,
84,1701447736,1701447779,,vertical,3,
87.25,1701447736,1701447801,,vertical,3,
94.5,1701447736,1701447822,,vertical,3,
99.75,1701447736,1701447844,,vertical,3,
101,1701447736,1701447866,,vertical,3,
101.25,1701447736,1701447887,,vertical,3,
99.75,1701447736,1701447909,,vertical,3,
94.25,1701447736,1701447930,,vertical,3,
93.5,1701447736,1701447952,,vertical,3,
91.25,1701447736,1701447973,,vertical,3,
88.5,1701447736,1701447995,,vertical,3,
87.25,1701447736,1701448017,,vertical,3,
86.75,1701447736,1701448038,,vertical,3,
83.75,1701447736,1701448060,,vertical,3,
84,1701447736,1701448081,,vertical,3,
84.25,1701447736,1701448103,,vertical,3,
86,1701447736,1701448125,,vertical,3,
88.53658537,1701448146,1701448146,4,horizontal,3,
95,1701448146,1701448168,,vertical,4,
97.5,1701448146,1701448190,,vertical,4,
98.75,1701448146,1701448211,,vertical,4,
96.25,1701448146,1701448233,,vertical,4,
91.5,1701448146,1701448255,,vertical,4,
86,1701448146,1701448277,,vertical,4,
82.25,1701448146,1701448299,,vertical,4,
75.6097561,1701448321,1701448321,3,horizontal,4,
75.25,1701448321,1701448343,,vertical,3,
82,1701448321,1701448364,,vertical,3,
86,1701448321,1701448386,,vertical,3,
95.75,1701448321,1701448407,,vertical,3,
101.75,1701448321,1701448430,,vertical,3,
98.7804878,1701448451,1701448451,2,horizontal,3,
94.5,1701448451,1701448473,,vertical,2,
97,1701448451,1701448494,,vertical,2,
91.75,1701448451,1701448515,,vertical,2,
94.5,1701448451,1701448537,,vertical,2,
106.5,1701448451,1701448558,,vertical,2,
108.2926829,1701448580,1701448580,3,horizontal,2,
112.5,1701448580,1701448601,,vertical,3,
115,1701448580,1701448623,,vertical,3,
115,1701448580,1701448644,,vertical,3,
107,1701448580,1701448666,,vertical,3,
103,1701448580,1701448688,,vertical,3,
96.75,1701448580,1701448709,,vertical,3,
90.75,1701448580,1701448731,,vertical,3,
76.82926829,1701448753,1701448753,2,horizontal,3,
77.5,1701448753,1701448774,,vertical,2,
85.25,1701448753,1701448796,,vertical,2,
90.5,1701448753,1701448817,,vertical,2,
97.25,1701448753,1701448838,,vertical,2,
107.75,1701448753,1701448860,,vertical,2,
110.7317073,1701448881,1701448881,3,horizontal,2,
111,1701448881,1701448903,,vertical,3,
112,1701448881,1701448924,,vertical,3,
111.5,1701448881,1701448946,,vertical,3,
109.75,1701448881,1701448967,,vertical,3,
