POD,CPU,MEMORY,TIME
front-end-55b89655c7-2tgbl,60m,70Mi,1701496184.1837976
front-end-55b89655c7-2tgbl,1m,70Mi,1701496206.0406034
front-end-55b89655c7-2tgbl,85m,80Mi,1701496227.9683158
front-end-55b89655c7-2tgbl,71m,81Mi,1701496249.8546243
front-end-55b89655c7-2tgbl,71m,81Mi,1701496271.6462817
front-end-55b89655c7-2tgbl,66m,110Mi,1701496293.4542713
front-end-55b89655c7-2tgbl,59m,112Mi,1701496315.351473
front-end-55b89655c7-2tgbl,82m,114Mi,1701496337.3018498
front-end-55b89655c7-2tgbl,87m,120Mi,1701496359.609715
front-end-55b89655c7-2tgbl,64m,120Mi,1701496381.724645
front-end-55b89655c7-2tgbl,66m,112Mi,1701496404.0832913
front-end-55b89655c7-2tgbl,75m,114Mi,1701496426.2254252
front-end-55b89655c7-2tgbl,69m,106Mi,1701496448.3689656
front-end-55b89655c7-2tgbl,75m,109Mi,1701496470.7319639
front-end-55b89655c7-2tgbl,75m,108Mi,1701496492.6722481
front-end-55b89655c7-2tgbl,71m,103Mi,1701496514.7234821
front-end-55b89655c7-2tgbl,72m,104Mi,1701496536.6073995
front-end-55b89655c7-2tgbl,70m,102Mi,1701496558.4862943
front-end-55b89655c7-2tgbl,75m,105Mi,1701496580.4727418
front-end-55b89655c7-2tgbl,62m,104Mi,1701496602.4260502
front-end-55b89655c7-2tgbl,63m,105Mi,1701496624.7380922
front-end-55b89655c7-2tgbl,63m,105Mi,1701496646.8086784
front-end-55b89655c7-2tgbl,51m,105Mi,1701496668.8662047
front-end-55b89655c7-2tgbl,74m,104Mi,1701496690.9608893
front-end-55b89655c7-2tgbl,55m,104Mi,1701496712.9975212
front-end-55b89655c7-2tgbl,53m,104Mi,1701496735.2731516
front-end-55b89655c7-2tgbl,64m,104Mi,1701496757.2485976
front-end-55b89655c7-2tgbl,55m,106Mi,1701496779.109058
front-end-55b89655c7-2tgbl,84m,107Mi,1701496801.1617577
front-end-55b89655c7-2tgbl,77m,104Mi,1701496823.0695262
front-end-55b89655c7-2tgbl,61m,104Mi,1701496845.0833123
front-end-55b89655c7-2tgbl,61m,104Mi,1701496866.943643
front-end-55b89655c7-2tgbl,53m,108Mi,1701496888.7801793
front-end-55b89655c7-2tgbl,56m,108Mi,1701496910.6866832
front-end-55b89655c7-2tgbl,58m,103Mi,1701496932.5146868
front-end-55b89655c7-2tgbl,63m,100Mi,1701496954.3993125
