POD,CPU,MEMORY,TIME
front-end-55b89655c7-5j6pl,49m,70Mi,1701490627.9842598
front-end-55b89655c7-5j6pl,73m,70Mi,1701490648.922286
front-end-55b89655c7-5j6pl,73m,70Mi,1701490670.2826192
front-end-55b89655c7-5j6pl,60m,76Mi,1701490691.6935005
front-end-55b89655c7-5j6pl,53m,98Mi,1701490713.033035
front-end-55b89655c7-5j6pl,47m,100Mi,1701490755.276458
front-end-55b89655c7-5j6pl,52m,100Mi,1701490776.4942293
front-end-55b89655c7-5j6pl,56m,93Mi,1701490797.8455892
front-end-55b89655c7-5j6pl,74m,98Mi,1701490819.1502025
front-end-55b89655c7-5j6pl,76m,102Mi,1701490840.5638642
front-end-55b89655c7-5j6pl,90m,101Mi,1701490862.1124969
front-end-55b89655c7-5j6pl,74m,100Mi,1701490883.653632
front-end-55b89655c7-5j6pl,52m,99Mi,1701490905.3080716
front-end-55b89655c7-5j6pl,38m,98Mi,1701490926.8869913
front-end-55b89655c7-5j6pl,50m,101Mi,1701490948.404269
front-end-55b89655c7-5j6pl,50m,98Mi,1701490970.029582
front-end-55b89655c7-5j6pl,70m,100Mi,1701490991.3880343
front-end-55b89655c7-5j6pl,93m,101Mi,1701491012.7973897
front-end-55b89655c7-5j6pl,82m,99Mi,1701491034.0990262
front-end-55b89655c7-5j6pl,94m,100Mi,1701491055.4527946
front-end-55b89655c7-5j6pl,70m,101Mi,1701491076.7522514
front-end-55b89655c7-5j6pl,69m,101Mi,1701491098.0776846
front-end-55b89655c7-5j6pl,64m,103Mi,1701491119.5043073
front-end-55b89655c7-5j6pl,64m,103Mi,1701491141.178099
front-end-55b89655c7-5j6pl,95m,102Mi,1701491162.4907815
front-end-55b89655c7-5j6pl,86m,100Mi,1701491183.8455648
front-end-55b89655c7-5j6pl,90m,103Mi,1701491205.5036318
front-end-55b89655c7-5j6pl,85m,99Mi,1701491227.1332457
front-end-55b89655c7-5j6pl,63m,102Mi,1701491248.6928203
front-end-55b89655c7-5j6pl,61m,102Mi,1701491270.2381394
front-end-55b89655c7-5j6pl,71m,102Mi,1701491291.8643603
front-end-55b89655c7-5j6pl,61m,102Mi,1701491314.1452916
front-end-55b89655c7-5j6pl,66m,102Mi,1701491336.2607222
front-end-55b89655c7-5j6pl,65m,97Mi,1701491358.062942
front-end-55b89655c7-5j6pl,80m,99Mi,1701491379.9313529
front-end-55b89655c7-5j6pl,84m,98Mi,1701491402.1427095
front-end-55b89655c7-5j6pl,77m,101Mi,1701491424.3598738
front-end-55b89655c7-5j6pl,63m,99Mi,1701491446.3852878
front-end-55b89655c7-5j6pl,63m,100Mi,1701491468.2939844
front-end-55b89655c7-5j6pl,54m,96Mi,1701491489.8676066
front-end-55b89655c7-5j6pl,62m,98Mi,1701491511.448396
front-end-55b89655c7-5j6pl,62m,98Mi,1701491533.047552
front-end-55b89655c7-5j6pl,76m,97Mi,1701491554.6728368
front-end-55b89655c7-5j6pl,72m,98Mi,1701491576.2682865
front-end-55b89655c7-5j6pl,70m,100Mi,1701491597.838944
front-end-55b89655c7-5j6pl,70m,103Mi,1701491619.413312
front-end-55b89655c7-5j6pl,74m,102Mi,1701491641.0095718
front-end-55b89655c7-5j6pl,86m,101Mi,1701491662.7954295
front-end-55b89655c7-5j6pl,99m,101Mi,1701491684.5773513
front-end-55b89655c7-5j6pl,64m,102Mi,1701491706.4155617
front-end-55b89655c7-5j6pl,58m,102Mi,1701491728.2547278
front-end-55b89655c7-5j6pl,66m,102Mi,1701491750.0684237
front-end-55b89655c7-5j6pl,50m,101Mi,1701491771.9414372
front-end-55b89655c7-5j6pl,52m,102Mi,1701491793.8041346
front-end-55b89655c7-5j6pl,58m,100Mi,1701491815.4594355
front-end-55b89655c7-5j6pl,87m,103Mi,1701491837.0706139
front-end-55b89655c7-5j6pl,84m,103Mi,1701491858.6509736
front-end-55b89655c7-5j6pl,100m,101Mi,1701491880.3881545
front-end-55b89655c7-5j6pl,81m,102Mi,1701491902.0113287
front-end-55b89655c7-5j6pl,76m,103Mi,1701491923.9285316
front-end-55b89655c7-5j6pl,97m,101Mi,1701491945.7201436
front-end-55b89655c7-5j6pl,60m,105Mi,1701491967.5869112
front-end-55b89655c7-5j6pl,50m,105Mi,1701491989.5066001
front-end-55b89655c7-5j6pl,62m,101Mi,1701492011.3502839
front-end-55b89655c7-5j6pl,58m,104Mi,1701492033.1823187
front-end-55b89655c7-5j6pl,73m,104Mi,1701492055.0107057
front-end-55b89655c7-5j6pl,81m,98Mi,1701492076.6103203
front-end-55b89655c7-5j6pl,100m,100Mi,1701492098.2155101
front-end-55b89655c7-5j6pl,82m,100Mi,1701492119.7545726
front-end-55b89655c7-5j6pl,76m,102Mi,1701492141.3721356
front-end-55b89655c7-5j6pl,84m,102Mi,1701492162.9656985
front-end-55b89655c7-5j6pl,79m,103Mi,1701492184.6023126
front-end-55b89655c7-5j6pl,101m,101Mi,1701492206.3912055
front-end-55b89655c7-5j6pl,80m,101Mi,1701492228.2075694
front-end-55b89655c7-5j6pl,77m,103Mi,1701492249.9884477
front-end-55b89655c7-5j6pl,45m,103Mi,1701492271.9750192
front-end-55b89655c7-5j6pl,55m,102Mi,1701492293.9946918
front-end-55b89655c7-5j6pl,64m,102Mi,1701492315.9269586
front-end-55b89655c7-5j6pl,59m,105Mi,1701492337.748311
front-end-55b89655c7-5j6pl,45m,100Mi,1701492359.7114122
front-end-55b89655c7-5j6pl,58m,100Mi,1701492381.3528545
front-end-55b89655c7-5j6pl,62m,102Mi,1701492402.919696
front-end-55b89655c7-5j6pl,76m,104Mi,1701492424.5721292
front-end-55b89655c7-5j6pl,78m,102Mi,1701492446.3338032
front-end-55b89655c7-5j6pl,79m,103Mi,1701492467.960719
front-end-55b89655c7-5j6pl,78m,104Mi,1701492489.6211941
front-end-55b89655c7-5j6pl,63m,101Mi,1701492511.3842888
front-end-55b89655c7-5j6pl,63m,101Mi,1701492533.2955866
front-end-55b89655c7-5j6pl,57m,103Mi,1701492555.1190398
front-end-55b89655c7-5j6pl,56m,103Mi,1701492576.9401937
front-end-55b89655c7-5j6pl,52m,103Mi,1701492598.7613876
front-end-55b89655c7-5j6pl,63m,103Mi,1701492620.6296782
front-end-55b89655c7-5j6pl,73m,103Mi,1701492642.2886727
front-end-55b89655c7-5j6pl,67m,104Mi,1701492663.832246
front-end-55b89655c7-5j6pl,82m,105Mi,1701492685.7107766
front-end-55b89655c7-5j6pl,70m,102Mi,1701492707.2946627
front-end-55b89655c7-5j6pl,64m,103Mi,1701492728.8765342
front-end-55b89655c7-5j6pl,75m,105Mi,1701492750.6433728
front-end-55b89655c7-5j6pl,66m,105Mi,1701492772.4887464
front-end-55b89655c7-5j6pl,60m,103Mi,1701492794.323687
front-end-55b89655c7-5j6pl,63m,102Mi,1701492816.1561792
front-end-55b89655c7-5j6pl,79m,102Mi,1701492838.03342
front-end-55b89655c7-5j6pl,68m,101Mi,1701492859.9959219
front-end-55b89655c7-5j6pl,54m,103Mi,1701492881.865355
front-end-55b89655c7-5j6pl,56m,103Mi,1701492903.7794204
front-end-55b89655c7-5j6pl,65m,104Mi,1701492925.45129
front-end-55b89655c7-5j6pl,92m,100Mi,1701492947.0558598
front-end-55b89655c7-5j6pl,88m,102Mi,1701492968.7488456
front-end-55b89655c7-5j6pl,84m,101Mi,1701492990.333125
front-end-55b89655c7-5j6pl,92m,100Mi,1701493011.9410799
front-end-55b89655c7-5j6pl,82m,101Mi,1701493033.827847
front-end-55b89655c7-5j6pl,88m,102Mi,1701493055.6868534
front-end-55b89655c7-5j6pl,93m,102Mi,1701493077.6568296
front-end-55b89655c7-5j6pl,76m,102Mi,1701493099.5481791
front-end-55b89655c7-5j6pl,62m,101Mi,1701493121.3972075
front-end-55b89655c7-5j6pl,63m,102Mi,1701493143.396612
front-end-55b89655c7-5j6pl,63m,102Mi,1701493165.4921057
front-end-55b89655c7-5j6pl,70m,104Mi,1701493187.3722095
front-end-55b89655c7-5j6pl,70m,101Mi,1701493209.1627219
front-end-55b89655c7-5j6pl,66m,106Mi,1701493230.9359703
front-end-55b89655c7-5j6pl,65m,102Mi,1701493252.7182739
front-end-55b89655c7-5j6pl,59m,104Mi,1701493274.610144
front-end-55b89655c7-5j6pl,57m,104Mi,1701493296.5030963
front-end-55b89655c7-5j6pl,53m,104Mi,1701493318.3489923
front-end-55b89655c7-5j6pl,76m,102Mi,1701493340.172743
front-end-55b89655c7-5j6pl,65m,103Mi,1701493362.04444
front-end-55b89655c7-5j6pl,62m,103Mi,1701493383.901136
front-end-55b89655c7-5j6pl,64m,101Mi,1701493405.8822088
front-end-55b89655c7-5j6pl,94m,100Mi,1701493427.526247
front-end-55b89655c7-5j6pl,74m,99Mi,1701493449.1200955
