POD,CPU,MEMORY,TIME
front-end-55b89655c7-djgbk,2m,71Mi,1701493579.8928316
front-end-55b89655c7-djgbk,65m,70Mi,1701493601.7479353
front-end-55b89655c7-djgbk,74m,94Mi,1701493623.7104228
front-end-55b89655c7-djgbk,74m,94Mi,1701493645.5900075
front-end-55b89655c7-djgbk,70m,101Mi,1701493667.6128287
front-end-55b89655c7-djgbk,88m,100Mi,1701493689.7575088
front-end-55b89655c7-djgbk,68m,99Mi,1701493711.949216
front-end-55b89655c7-djgbk,60m,102Mi,1701493734.116662
front-end-55b89655c7-djgbk,54m,101Mi,1701493756.1811852
front-end-55b89655c7-djgbk,47m,101Mi,1701493778.2712526
front-end-55b89655c7-djgbk,59m,102Mi,1701493800.4313662
front-end-55b89655c7-djgbk,58m,101Mi,1701493822.3178065
front-end-55b89655c7-djgbk,44m,100Mi,1701493844.2119293
front-end-55b89655c7-djgbk,44m,100Mi,1701493866.1076598
front-end-55b89655c7-djgbk,60m,102Mi,1701493887.9388452
front-end-55b89655c7-djgbk,64m,99Mi,1701493909.7378373
front-end-55b89655c7-djgbk,65m,98Mi,1701493931.578586
front-end-55b89655c7-djgbk,39m,93Mi,1701493953.5056663
