POD,CPU,MEMORY,TIME
front-end-55b89655c7-ksmnf,1m,70Mi,1701495104.7242289
front-end-55b89655c7-ksmnf,55m,71Mi,1701495126.6101453
front-end-55b89655c7-ksmnf,68m,100Mi,1701495148.5445821
front-end-55b89655c7-ksmnf,85m,105Mi,1701495170.4472458
front-end-55b89655c7-ksmnf,84m,111Mi,1701495192.3501303
front-end-55b89655c7-ksmnf,73m,114Mi,1701495214.2901115
front-end-55b89655c7-ksmnf,73m,117Mi,1701495236.3621674
front-end-55b89655c7-ksmnf,85m,119Mi,1701495258.5768752
front-end-55b89655c7-ksmnf,60m,109Mi,1701495280.666404
front-end-55b89655c7-ksmnf,42m,112Mi,1701495302.7844644
front-end-55b89655c7-ksmnf,40m,108Mi,1701495324.94243
front-end-55b89655c7-ksmnf,45m,108Mi,1701495347.1457536
front-end-55b89655c7-ksmnf,45m,108Mi,1701495369.4801981
front-end-55b89655c7-ksmnf,48m,110Mi,1701495391.7682552
front-end-55b89655c7-ksmnf,47m,107Mi,1701495414.0846477
front-end-55b89655c7-ksmnf,49m,105Mi,1701495436.5690932
front-end-55b89655c7-ksmnf,60m,106Mi,1701495459.058193
front-end-55b89655c7-ksmnf,47m,108Mi,1701495481.6447961
front-end-55b89655c7-ksmnf,57m,99Mi,1701495503.822007
front-end-55b89655c7-ksmnf,55m,101Mi,1701495525.8891945
front-end-55b89655c7-ksmnf,50m,100Mi,1701495547.9301636
front-end-55b89655c7-ksmnf,49m,103Mi,1701495570.017022
front-end-55b89655c7-ksmnf,49m,103Mi,1701495592.3259292
front-end-55b89655c7-ksmnf,67m,102Mi,1701495614.5380726
front-end-55b89655c7-ksmnf,69m,105Mi,1701495636.4351943
front-end-55b89655c7-ksmnf,58m,97Mi,1701495658.276581
front-end-55b89655c7-ksmnf,83m,100Mi,1701495680.101818
front-end-55b89655c7-ksmnf,79m,99Mi,1701495702.1322992
front-end-55b89655c7-ksmnf,63m,104Mi,1701495724.2149549
front-end-55b89655c7-ksmnf,63m,104Mi,1701495746.0279107
front-end-55b89655c7-ksmnf,69m,105Mi,1701495767.8503141
front-end-55b89655c7-ksmnf,72m,102Mi,1701495789.7137976
front-end-55b89655c7-ksmnf,64m,104Mi,1701495811.845837
front-end-55b89655c7-ksmnf,62m,104Mi,1701495834.0080378
front-end-55b89655c7-ksmnf,74m,98Mi,1701495856.0883493
front-end-55b89655c7-ksmnf,63m,100Mi,1701495878.1917322
front-end-55b89655c7-ksmnf,64m,100Mi,1701495900.3706477
front-end-55b89655c7-ksmnf,51m,101Mi,1701495922.6060345
front-end-55b89655c7-ksmnf,71m,102Mi,1701495944.502333
front-end-55b89655c7-ksmnf,67m,104Mi,1701495966.3567986
front-end-55b89655c7-ksmnf,69m,107Mi,1701495988.321095
front-end-55b89655c7-ksmnf,69m,107Mi,1701496010.1741478
front-end-55b89655c7-ksmnf,71m,105Mi,1701496032.1245506
front-end-55b89655c7-ksmnf,61m,104Mi,1701496054.0950391
