POD,CPU,MEMORY,TIME
front-end-55b89655c7-njcp7,52m,65Mi,1701495236.3621674
front-end-55b89655c7-njcp7,35m,63Mi,1701495258.5768752
front-end-55b89655c7-njcp7,35m,63Mi,1701495280.666404
front-end-55b89655c7-njcp7,51m,69Mi,1701495302.7844644
front-end-55b89655c7-njcp7,65m,79Mi,1701495324.94243
front-end-55b89655c7-njcp7,37m,89Mi,1701495347.1457536
front-end-55b89655c7-njcp7,37m,89Mi,1701495369.4801981
front-end-55b89655c7-njcp7,46m,93Mi,1701495391.7682552
front-end-55b89655c7-njcp7,47m,85Mi,1701495414.0846477
front-end-55b89655c7-njcp7,42m,88Mi,1701495436.5690932
front-end-55b89655c7-njcp7,52m,92Mi,1701495459.058193
front-end-55b89655c7-njcp7,41m,91Mi,1701495481.6447961
front-end-55b89655c7-njcp7,57m,94Mi,1701495503.822007
front-end-55b89655c7-njcp7,52m,94Mi,1701495525.8891945
front-end-55b89655c7-njcp7,58m,89Mi,1701495547.9301636
front-end-55b89655c7-njcp7,59m,92Mi,1701495570.017022
front-end-55b89655c7-njcp7,59m,92Mi,1701495592.3259292
front-end-55b89655c7-njcp7,48m,93Mi,1701495614.5380726
