POD,CPU,MEMORY,TIME
front-end-55b89655c7-rswcm,52m,70Mi,1701493033.827847
front-end-55b89655c7-rswcm,1m,70Mi,1701493055.6868534
front-end-55b89655c7-rswcm,15m,60Mi,1701493077.6568296
front-end-55b89655c7-rswcm,99m,80Mi,1701493099.5481791
front-end-55b89655c7-rswcm,71m,99Mi,1701493121.3972075
front-end-55b89655c7-rswcm,65m,107Mi,1701493143.396612
front-end-55b89655c7-rswcm,65m,107Mi,1701493165.4921057
front-end-55b89655c7-rswcm,67m,118Mi,1701493187.3722095
front-end-55b89655c7-rswcm,67m,118Mi,1701493209.1627219
front-end-55b89655c7-rswcm,65m,119Mi,1701493230.9359703
front-end-55b89655c7-rswcm,56m,110Mi,1701493252.7182739
front-end-55b89655c7-rswcm,68m,111Mi,1701493274.610144
front-end-55b89655c7-rswcm,69m,108Mi,1701493296.5030963
front-end-55b89655c7-rswcm,71m,110Mi,1701493318.3489923
front-end-55b89655c7-rswcm,72m,107Mi,1701493340.172743
front-end-55b89655c7-rswcm,61m,107Mi,1701493362.04444
front-end-55b89655c7-rswcm,70m,107Mi,1701493383.901136
front-end-55b89655c7-rswcm,71m,106Mi,1701493405.8822088
