POD,CPU,MEMORY,TIME
front-end-55b89655c7-v2s6p,19m,66Mi,1701499594.1583889
front-end-55b89655c7-v2s6p,19m,66Mi,1701499615.8411803
front-end-55b89655c7-v2s6p,85m,93Mi,1701499637.441368
front-end-55b89655c7-v2s6p,97m,97Mi,1701499659.0361056
front-end-55b89655c7-v2s6p,74m,95Mi,1701499680.5976055
front-end-55b89655c7-v2s6p,85m,97Mi,1701499702.2024195
front-end-55b89655c7-v2s6p,94m,96Mi,1701499724.0082338
front-end-55b89655c7-v2s6p,77m,97Mi,1701499745.8040667
front-end-55b89655c7-v2s6p,54m,95Mi,1701499767.5829847
front-end-55b89655c7-v2s6p,54m,97Mi,1701499789.4433632
front-end-55b89655c7-v2s6p,70m,97Mi,1701499811.279705
front-end-55b89655c7-v2s6p,68m,96Mi,1701499833.2095332
front-end-55b89655c7-v2s6p,68m,97Mi,1701499855.0595746
front-end-55b89655c7-v2s6p,83m,96Mi,1701499876.906779
front-end-55b89655c7-v2s6p,65m,95Mi,1701499898.6895263
front-end-55b89655c7-v2s6p,60m,96Mi,1701499920.426907
front-end-55b89655c7-v2s6p,61m,95Mi,1701499942.345867
front-end-55b89655c7-v2s6p,72m,97Mi,1701499963.9479966
front-end-55b89655c7-v2s6p,71m,97Mi,1701499985.508746
front-end-55b89655c7-v2s6p,66m,96Mi,1701500007.103178
front-end-55b89655c7-v2s6p,70m,96Mi,1701500028.7070065
front-end-55b89655c7-v2s6p,83m,97Mi,1701500050.366535
front-end-55b89655c7-v2s6p,75m,95Mi,1701500071.993441
front-end-55b89655c7-v2s6p,76m,97Mi,1701500093.6032662
front-end-55b89655c7-v2s6p,69m,94Mi,1701500115.1798759
front-end-55b89655c7-v2s6p,75m,92Mi,1701500136.8681536
front-end-55b89655c7-v2s6p,87m,94Mi,1701500158.795217
front-end-55b89655c7-v2s6p,70m,94Mi,1701500180.63611
front-end-55b89655c7-v2s6p,65m,95Mi,1701500202.5166094
front-end-55b89655c7-v2s6p,70m,95Mi,1701500224.3600254
front-end-55b89655c7-v2s6p,73m,96Mi,1701500246.2371128
front-end-55b89655c7-v2s6p,70m,98Mi,1701500268.1796455
front-end-55b89655c7-v2s6p,83m,94Mi,1701500290.0085843
front-end-55b89655c7-v2s6p,66m,96Mi,1701500311.943267
front-end-55b89655c7-v2s6p,96m,95Mi,1701500333.5854504
front-end-55b89655c7-v2s6p,82m,93Mi,1701500355.1600077
front-end-55b89655c7-v2s6p,100m,96Mi,1701500376.8403134
front-end-55b89655c7-v2s6p,82m,93Mi,1701500398.4364192
front-end-55b89655c7-v2s6p,83m,95Mi,1701500420.0353956
front-end-55b89655c7-v2s6p,73m,93Mi,1701500441.7729836
front-end-55b89655c7-v2s6p,84m,95Mi,1701500463.4029486
front-end-55b89655c7-v2s6p,106m,95Mi,1701500485.1406467
front-end-55b89655c7-v2s6p,74m,96Mi,1701500506.9105418
front-end-55b89655c7-v2s6p,64m,95Mi,1701500528.689651
front-end-55b89655c7-v2s6p,52m,94Mi,1701500550.4887338
front-end-55b89655c7-v2s6p,51m,89Mi,1701500572.3173013
front-end-55b89655c7-v2s6p,58m,91Mi,1701500594.2246614
front-end-55b89655c7-v2s6p,58m,91Mi,1701500616.0788112
front-end-55b89655c7-v2s6p,60m,93Mi,1701500637.6981502
front-end-55b89655c7-v2s6p,62m,94Mi,1701500659.269523
front-end-55b89655c7-v2s6p,63m,93Mi,1701500680.841478
front-end-55b89655c7-v2s6p,50m,97Mi,1701500702.4427369
front-end-55b89655c7-v2s6p,45m,98Mi,1701500724.013993
front-end-55b89655c7-v2s6p,27m,96Mi,1701500745.5584826
front-end-55b89655c7-v2s6p,40m,88Mi,1701500767.1345856
