POD,CPU,MEMORY,TIME
front-end-55b89655c7-xkd6n,1m,71Mi,1701497127.7414296
front-end-55b89655c7-xkd6n,50m,70Mi,1701497149.5835154
front-end-55b89655c7-xkd6n,50m,70Mi,1701497171.4496562
front-end-55b89655c7-xkd6n,75m,93Mi,1701497193.388183
front-end-55b89655c7-xkd6n,68m,94Mi,1701497215.1471238
front-end-55b89655c7-xkd6n,69m,99Mi,1701497237.1288714
front-end-55b89655c7-xkd6n,71m,96Mi,1701497259.219613
front-end-55b89655c7-xkd6n,74m,99Mi,1701497281.3682854
front-end-55b89655c7-xkd6n,61m,96Mi,1701497303.535477
front-end-55b89655c7-xkd6n,75m,101Mi,1701497325.6411016
front-end-55b89655c7-xkd6n,54m,99Mi,1701497347.8258717
front-end-55b89655c7-xkd6n,51m,101Mi,1701497370.0130396
front-end-55b89655c7-xkd6n,54m,103Mi,1701497391.9261658
front-end-55b89655c7-xkd6n,67m,100Mi,1701497413.840254
front-end-55b89655c7-xkd6n,74m,101Mi,1701497435.7323701
front-end-55b89655c7-xkd6n,87m,101Mi,1701497457.7213273
front-end-55b89655c7-xkd6n,81m,98Mi,1701497479.616489
front-end-55b89655c7-xkd6n,81m,98Mi,1701497501.6339402
front-end-55b89655c7-xkd6n,94m,101Mi,1701497523.7288709
front-end-55b89655c7-xkd6n,62m,101Mi,1701497545.8866255
front-end-55b89655c7-xkd6n,56m,104Mi,1701497568.259611
front-end-55b89655c7-xkd6n,61m,100Mi,1701497590.4051685
front-end-55b89655c7-xkd6n,72m,101Mi,1701497612.5383575
front-end-55b89655c7-xkd6n,65m,100Mi,1701497634.5842223
front-end-55b89655c7-xkd6n,66m,98Mi,1701497656.767899
front-end-55b89655c7-xkd6n,69m,98Mi,1701497679.2271695
front-end-55b89655c7-xkd6n,69m,99Mi,1701497701.105447
front-end-55b89655c7-xkd6n,68m,99Mi,1701497722.934062
front-end-55b89655c7-xkd6n,52m,98Mi,1701497744.8544617
front-end-55b89655c7-xkd6n,56m,98Mi,1701497766.6730614
front-end-55b89655c7-xkd6n,65m,100Mi,1701497788.6253433
front-end-55b89655c7-xkd6n,58m,100Mi,1701497810.8162344
front-end-55b89655c7-xkd6n,53m,100Mi,1701497832.8209028
front-end-55b89655c7-xkd6n,65m,95Mi,1701497854.6441536
front-end-55b89655c7-xkd6n,51m,96Mi,1701497876.5664186
