POD,CPU,MEMORY,TIME
front-end-55b89655c7-brvb2,50m,70Mi,1701509414.0139658
front-end-55b89655c7-brvb2,1m,70Mi,1701509435.9759145
front-end-55b89655c7-brvb2,60m,78Mi,1701509457.9133732
front-end-55b89655c7-brvb2,60m,78Mi,1701509479.753753
front-end-55b89655c7-brvb2,69m,97Mi,1701509501.6086218
front-end-55b89655c7-brvb2,81m,100Mi,1701509523.4394615
front-end-55b89655c7-brvb2,64m,101Mi,1701509545.393662
front-end-55b89655c7-brvb2,65m,98Mi,1701509567.2384212
front-end-55b89655c7-brvb2,77m,98Mi,1701509589.098619
front-end-55b89655c7-brvb2,68m,102Mi,1701509610.9200983
front-end-55b89655c7-brvb2,62m,99Mi,1701509632.7195268
front-end-55b89655c7-brvb2,28m,100Mi,1701509654.6187165
