POD,CPU,MEMORY,TIME
front-end-55b89655c7-c49bd,1m,65Mi,1701506345.8056238
front-end-55b89655c7-c49bd,68m,73Mi,1701506367.4113536
front-end-55b89655c7-c49bd,67m,78Mi,1701506389.0561686
front-end-55b89655c7-c49bd,71m,91Mi,1701506410.7659254
front-end-55b89655c7-c49bd,82m,96Mi,1701506432.3420222
front-end-55b89655c7-c49bd,93m,95Mi,1701506453.9732566
front-end-55b89655c7-c49bd,76m,97Mi,1701506475.6097815
front-end-55b89655c7-c49bd,76m,97Mi,1701506497.3484423
front-end-55b89655c7-c49bd,72m,98Mi,1701506519.1710484
front-end-55b89655c7-c49bd,83m,96Mi,1701506541.0528245
front-end-55b89655c7-c49bd,54m,96Mi,1701506562.8995318
front-end-55b89655c7-c49bd,65m,97Mi,1701506584.7133765
front-end-55b89655c7-c49bd,57m,96Mi,1701506606.8249774
front-end-55b89655c7-c49bd,62m,95Mi,1701506628.6813161
front-end-55b89655c7-c49bd,63m,96Mi,1701506650.5368693
front-end-55b89655c7-c49bd,88m,94Mi,1701506672.1456392
front-end-55b89655c7-c49bd,79m,95Mi,1701506693.728957
front-end-55b89655c7-c49bd,91m,96Mi,1701506715.3939404
front-end-55b89655c7-c49bd,73m,96Mi,1701506736.972488
front-end-55b89655c7-c49bd,83m,98Mi,1701506758.5645385
front-end-55b89655c7-c49bd,63m,96Mi,1701506780.1957762
front-end-55b89655c7-c49bd,79m,97Mi,1701506802.0796587
front-end-55b89655c7-c49bd,67m,95Mi,1701506823.8669338
front-end-55b89655c7-c49bd,67m,94Mi,1701506845.6395864
front-end-55b89655c7-c49bd,45m,97Mi,1701506867.4729092
front-end-55b89655c7-c49bd,49m,90Mi,1701506889.2981746
front-end-55b89655c7-c49bd,51m,92Mi,1701506911.1153545
front-end-55b89655c7-c49bd,56m,92Mi,1701506933.077007
front-end-55b89655c7-c49bd,60m,93Mi,1701506954.9572446
front-end-55b89655c7-c49bd,60m,94Mi,1701506976.5912147
front-end-55b89655c7-c49bd,72m,96Mi,1701506998.1885579
front-end-55b89655c7-c49bd,72m,93Mi,1701507019.803285
front-end-55b89655c7-c49bd,72m,93Mi,1701507041.5228045
front-end-55b89655c7-c49bd,77m,94Mi,1701507063.16456
front-end-55b89655c7-c49bd,80m,97Mi,1701507084.8847766
front-end-55b89655c7-c49bd,68m,92Mi,1701507106.709475
front-end-55b89655c7-c49bd,87m,92Mi,1701507128.8408098
front-end-55b89655c7-c49bd,56m,96Mi,1701507150.7857957
front-end-55b89655c7-c49bd,66m,96Mi,1701507172.8880904
front-end-55b89655c7-c49bd,62m,96Mi,1701507194.763954
front-end-55b89655c7-c49bd,82m,95Mi,1701507216.7860405
front-end-55b89655c7-c49bd,92m,94Mi,1701507238.3723536
front-end-55b89655c7-c49bd,74m,94Mi,1701507260.0184708
front-end-55b89655c7-c49bd,74m,95Mi,1701507281.5597103
front-end-55b89655c7-c49bd,83m,94Mi,1701507303.1364455
front-end-55b89655c7-c49bd,87m,94Mi,1701507324.7208583
front-end-55b89655c7-c49bd,83m,95Mi,1701507346.3959575
front-end-55b89655c7-c49bd,85m,95Mi,1701507368.415961
front-end-55b89655c7-c49bd,88m,95Mi,1701507390.6133225
front-end-55b89655c7-c49bd,72m,97Mi,1701507412.4457347
front-end-55b89655c7-c49bd,75m,96Mi,1701507434.3040977
front-end-55b89655c7-c49bd,75m,96Mi,1701507456.1465862
front-end-55b89655c7-c49bd,69m,95Mi,1701507478.0729907
front-end-55b89655c7-c49bd,76m,95Mi,1701507500.1669383
front-end-55b89655c7-c49bd,69m,97Mi,1701507522.0070481
front-end-55b89655c7-c49bd,62m,91Mi,1701507543.8729856
