POD,CPU,MEMORY,TIME
front-end-55b89655c7-d27s7,3m,66Mi,1701503535.3347774
front-end-55b89655c7-d27s7,87m,74Mi,1701503556.9921134
front-end-55b89655c7-d27s7,63m,85Mi,1701503578.5749507
front-end-55b89655c7-d27s7,77m,92Mi,1701503600.1795928
front-end-55b89655c7-d27s7,78m,95Mi,1701503621.7900696
front-end-55b89655c7-d27s7,86m,94Mi,1701503643.4227467
front-end-55b89655c7-d27s7,85m,95Mi,1701503665.1815698
front-end-55b89655c7-d27s7,77m,94Mi,1701503686.976086
front-end-55b89655c7-d27s7,65m,98Mi,1701503708.778082
front-end-55b89655c7-d27s7,50m,95Mi,1701503730.5941565
front-end-55b89655c7-d27s7,54m,95Mi,1701503752.4178543
front-end-55b89655c7-d27s7,53m,98Mi,1701503774.3162951
front-end-55b89655c7-d27s7,54m,96Mi,1701503796.2484646
front-end-55b89655c7-d27s7,66m,95Mi,1701503817.8679547
front-end-55b89655c7-d27s7,66m,87Mi,1701503839.4298778
front-end-55b89655c7-d27s7,69m,90Mi,1701503861.0204346
front-end-55b89655c7-d27s7,75m,93Mi,1701503882.853038
front-end-55b89655c7-d27s7,83m,92Mi,1701503904.4637687
front-end-55b89655c7-d27s7,76m,95Mi,1701503926.1099975
front-end-55b89655c7-d27s7,77m,96Mi,1701503948.1781447
front-end-55b89655c7-d27s7,59m,94Mi,1701503970.0702982
front-end-55b89655c7-d27s7,58m,95Mi,1701503991.9588528
front-end-55b89655c7-d27s7,60m,97Mi,1701504013.7575526
front-end-55b89655c7-d27s7,54m,91Mi,1701504035.8947651
front-end-55b89655c7-d27s7,66m,93Mi,1701504057.8194172
front-end-55b89655c7-d27s7,78m,96Mi,1701504079.4565852
front-end-55b89655c7-d27s7,96m,97Mi,1701504101.2898932
front-end-55b89655c7-d27s7,101m,96Mi,1701504123.063805
front-end-55b89655c7-d27s7,74m,97Mi,1701504145.044016
front-end-55b89655c7-d27s7,80m,95Mi,1701504166.6454306
front-end-55b89655c7-d27s7,95m,95Mi,1701504188.2686172
front-end-55b89655c7-d27s7,68m,95Mi,1701504210.034168
front-end-55b89655c7-d27s7,78m,94Mi,1701504232.2229328
front-end-55b89655c7-d27s7,65m,93Mi,1701504254.0563586
front-end-55b89655c7-d27s7,72m,93Mi,1701504275.9446852
front-end-55b89655c7-d27s7,62m,97Mi,1701504297.7343678
