POD,CPU,MEMORY,TIME
front-end-55b89655c7-h4jld,3m,71Mi,1701512329.1511617
front-end-55b89655c7-h4jld,65m,70Mi,1701512351.1530805
front-end-55b89655c7-h4jld,62m,76Mi,1701512373.1056123
front-end-55b89655c7-h4jld,64m,97Mi,1701512394.993508
front-end-55b89655c7-h4jld,62m,96Mi,1701512416.8391552
front-end-55b89655c7-h4jld,80m,99Mi,1701512438.7114766
front-end-55b89655c7-h4jld,73m,98Mi,1701512460.6791384
front-end-55b89655c7-h4jld,79m,100Mi,1701512482.5630555
front-end-55b89655c7-h4jld,62m,101Mi,1701512504.4400764
front-end-55b89655c7-h4jld,61m,104Mi,1701512526.3278956
front-end-55b89655c7-h4jld,59m,99Mi,1701512548.1441984
front-end-55b89655c7-h4jld,48m,99Mi,1701512570.0881734
