POD,CPU,MEMORY,TIME
front-end-55b89655c7-hrftj,40m,66Mi,1701511893.1625936
front-end-55b89655c7-hrftj,99m,76Mi,1701511914.8761199
front-end-55b89655c7-hrftj,87m,100Mi,1701511936.5050561
front-end-55b89655c7-hrftj,88m,108Mi,1701511958.163143
front-end-55b89655c7-hrftj,77m,117Mi,1701511980.246962
front-end-55b89655c7-hrftj,89m,121Mi,1701512002.024976
front-end-55b89655c7-hrftj,55m,122Mi,1701512023.8734152
front-end-55b89655c7-hrftj,57m,123Mi,1701512045.7902262
front-end-55b89655c7-hrftj,70m,97Mi,1701512067.5935225
front-end-55b89655c7-hrftj,61m,99Mi,1701512089.394733
front-end-55b89655c7-hrftj,57m,97Mi,1701512111.206797
front-end-55b89655c7-hrftj,58m,98Mi,1701512133.1130593
front-end-55b89655c7-hrftj,54m,99Mi,1701512154.9331195
front-end-55b89655c7-hrftj,46m,99Mi,1701512176.8699489
front-end-55b89655c7-hrftj,49m,100Mi,1701512198.4925103
front-end-55b89655c7-hrftj,81m,98Mi,1701512220.0946379
front-end-55b89655c7-hrftj,47m,100Mi,1701512242.108668
front-end-55b89655c7-hrftj,80m,100Mi,1701512264.0653255
front-end-55b89655c7-hrftj,67m,99Mi,1701512285.668238
front-end-55b89655c7-hrftj,72m,101Mi,1701512307.345007
front-end-55b89655c7-hrftj,84m,99Mi,1701512329.1511617
front-end-55b89655c7-hrftj,47m,98Mi,1701512351.1530805
front-end-55b89655c7-hrftj,55m,100Mi,1701512373.1056123
front-end-55b89655c7-hrftj,90m,100Mi,1701512394.993508
front-end-55b89655c7-hrftj,66m,101Mi,1701512416.8391552
front-end-55b89655c7-hrftj,74m,100Mi,1701512438.7114766
front-end-55b89655c7-hrftj,72m,101Mi,1701512460.6791384
front-end-55b89655c7-hrftj,96m,99Mi,1701512482.5630555
front-end-55b89655c7-hrftj,65m,100Mi,1701512504.4400764
front-end-55b89655c7-hrftj,65m,100Mi,1701512526.3278956
front-end-55b89655c7-hrftj,70m,97Mi,1701512548.1441984
front-end-55b89655c7-hrftj,73m,98Mi,1701512570.0881734
front-end-55b89655c7-hrftj,88m,100Mi,1701512591.699552
front-end-55b89655c7-hrftj,79m,101Mi,1701512613.5060534
front-end-55b89655c7-hrftj,77m,99Mi,1701512635.0818422
front-end-55b89655c7-hrftj,78m,99Mi,1701512656.7082067
front-end-55b89655c7-hrftj,87m,101Mi,1701512678.3891563
front-end-55b89655c7-hrftj,90m,101Mi,1701512700.2380316
front-end-55b89655c7-hrftj,73m,100Mi,1701512722.0466015
front-end-55b89655c7-hrftj,58m,100Mi,1701512744.0955944
front-end-55b89655c7-hrftj,58m,100Mi,1701512765.9661136
front-end-55b89655c7-hrftj,48m,101Mi,1701512787.8685207
front-end-55b89655c7-hrftj,48m,101Mi,1701512809.6873982
front-end-55b89655c7-hrftj,54m,100Mi,1701512831.636671
front-end-55b89655c7-hrftj,60m,100Mi,1701512853.3228388
front-end-55b89655c7-hrftj,68m,98Mi,1701512874.9063325
front-end-55b89655c7-hrftj,58m,99Mi,1701512896.83274
front-end-55b89655c7-hrftj,63m,99Mi,1701512918.368465
front-end-55b89655c7-hrftj,56m,93Mi,1701512939.9374108
front-end-55b89655c7-hrftj,60m,94Mi,1701512961.9314213
