POD,CPU,MEMORY,TIME
front-end-55b89655c7-jt7gw,44m,65Mi,1701503083.338037
front-end-55b89655c7-jt7gw,1m,65Mi,1701503104.8867912
front-end-55b89655c7-jt7gw,2m,66Mi,1701503126.5437
front-end-55b89655c7-jt7gw,43m,67Mi,1701503148.0825095
front-end-55b89655c7-jt7gw,46m,71Mi,1701503169.631617
front-end-55b89655c7-jt7gw,49m,86Mi,1701503191.2066524
front-end-55b89655c7-jt7gw,60m,90Mi,1701503212.8003304
front-end-55b89655c7-jt7gw,62m,93Mi,1701503234.4574082
front-end-55b89655c7-jt7gw,66m,95Mi,1701503256.0576665
front-end-55b89655c7-jt7gw,60m,94Mi,1701503277.6233358
front-end-55b89655c7-jt7gw,57m,96Mi,1701503299.1901968
front-end-55b89655c7-jt7gw,49m,96Mi,1701503320.7377117
front-end-55b89655c7-jt7gw,42m,88Mi,1701503342.379869
front-end-55b89655c7-jt7gw,43m,89Mi,1701503363.9812913
