POD,CPU,MEMORY,TIME
front-end-55b89655c7-qtlt7,47m,70Mi,1701508936.430221
front-end-55b89655c7-qtlt7,1m,70Mi,1701508958.2856686
front-end-55b89655c7-qtlt7,63m,71Mi,1701508980.142746
front-end-55b89655c7-qtlt7,54m,77Mi,1701509002.0490992
front-end-55b89655c7-qtlt7,73m,94Mi,1701509023.8227122
front-end-55b89655c7-qtlt7,65m,96Mi,1701509045.5953422
front-end-55b89655c7-qtlt7,74m,98Mi,1701509067.4214218
front-end-55b89655c7-qtlt7,54m,99Mi,1701509089.207107
front-end-55b89655c7-qtlt7,57m,100Mi,1701509111.142825
front-end-55b89655c7-qtlt7,45m,101Mi,1701509133.0294316
