POD,CPU,MEMORY,TIME
front-end-55b89655c7-rmwfj,67m,71Mi,1701504210.034168
front-end-55b89655c7-rmwfj,1m,71Mi,1701504232.2229328
front-end-55b89655c7-rmwfj,5m,72Mi,1701504254.0563586
front-end-55b89655c7-rmwfj,70m,77Mi,1701504275.9446852
front-end-55b89655c7-rmwfj,66m,95Mi,1701504297.7343678
front-end-55b89655c7-rmwfj,73m,96Mi,1701504319.6329148
front-end-55b89655c7-rmwfj,93m,100Mi,1701504341.6784866
front-end-55b89655c7-rmwfj,71m,102Mi,1701504363.6801817
front-end-55b89655c7-rmwfj,68m,98Mi,1701504385.784471
front-end-55b89655c7-rmwfj,68m,100Mi,1701504407.8633904
front-end-55b89655c7-rmwfj,66m,101Mi,1701504430.0681787
front-end-55b89655c7-rmwfj,58m,100Mi,1701504452.221354
front-end-55b89655c7-rmwfj,41m,103Mi,1701504474.5688615
front-end-55b89655c7-rmwfj,40m,102Mi,1701504496.8862267
front-end-55b89655c7-rmwfj,62m,100Mi,1701504518.79982
front-end-55b89655c7-rmwfj,57m,103Mi,1701504540.719793
front-end-55b89655c7-rmwfj,52m,102Mi,1701504562.5780182
front-end-55b89655c7-rmwfj,47m,102Mi,1701504584.3945878
front-end-55b89655c7-rmwfj,56m,102Mi,1701504606.1765065
front-end-55b89655c7-rmwfj,40m,102Mi,1701504628.2602658
