POD,CPU,MEMORY,TIME
front-end-55b89655c7-sbjmk,2m,68Mi,1701502847.480647
front-end-55b89655c7-sbjmk,24m,59Mi,1701502869.030165
front-end-55b89655c7-sbjmk,63m,74Mi,1701502890.763042
front-end-55b89655c7-sbjmk,53m,73Mi,1701502912.6030703
front-end-55b89655c7-sbjmk,48m,89Mi,1701502933.9490688
front-end-55b89655c7-sbjmk,61m,90Mi,1701502955.2788737
front-end-55b89655c7-sbjmk,62m,92Mi,1701502976.5709274
front-end-55b89655c7-sbjmk,55m,96Mi,1701502997.8930585
front-end-55b89655c7-sbjmk,48m,92Mi,1701503019.2706819
front-end-55b89655c7-sbjmk,65m,97Mi,1701503040.6046774
front-end-55b89655c7-sbjmk,79m,97Mi,1701503061.9494355
front-end-55b89655c7-sbjmk,76m,96Mi,1701503083.338037
front-end-55b89655c7-sbjmk,70m,96Mi,1701503104.8867912
front-end-55b89655c7-sbjmk,53m,97Mi,1701503126.5437
front-end-55b89655c7-sbjmk,44m,98Mi,1701503148.0825095
front-end-55b89655c7-sbjmk,42m,98Mi,1701503169.631617
front-end-55b89655c7-sbjmk,50m,100Mi,1701503191.2066524
front-end-55b89655c7-sbjmk,54m,94Mi,1701503212.8003304
front-end-55b89655c7-sbjmk,54m,97Mi,1701503234.4574082
front-end-55b89655c7-sbjmk,83m,95Mi,1701503256.0576665
front-end-55b89655c7-sbjmk,65m,98Mi,1701503277.6233358
front-end-55b89655c7-sbjmk,65m,98Mi,1701503299.1901968
front-end-55b89655c7-sbjmk,58m,97Mi,1701503320.7377117
front-end-55b89655c7-sbjmk,48m,92Mi,1701503342.379869
front-end-55b89655c7-sbjmk,51m,88Mi,1701503363.9812913
front-end-55b89655c7-sbjmk,87m,93Mi,1701503385.3986595
front-end-55b89655c7-sbjmk,97m,94Mi,1701503406.7397707
front-end-55b89655c7-sbjmk,76m,98Mi,1701503428.0792167
front-end-55b89655c7-sbjmk,76m,98Mi,1701503449.4834886
front-end-55b89655c7-sbjmk,88m,98Mi,1701503470.8149402
front-end-55b89655c7-sbjmk,84m,97Mi,1701503492.2455873
front-end-55b89655c7-sbjmk,82m,99Mi,1701503513.8047419
front-end-55b89655c7-sbjmk,90m,96Mi,1701503535.3347774
front-end-55b89655c7-sbjmk,64m,96Mi,1701503556.9921134
front-end-55b89655c7-sbjmk,64m,95Mi,1701503578.5749507
front-end-55b89655c7-sbjmk,60m,97Mi,1701503600.1795928
front-end-55b89655c7-sbjmk,92m,98Mi,1701503621.7900696
front-end-55b89655c7-sbjmk,86m,99Mi,1701503643.4227467
front-end-55b89655c7-sbjmk,83m,97Mi,1701503665.1815698
front-end-55b89655c7-sbjmk,70m,97Mi,1701503686.976086
front-end-55b89655c7-sbjmk,65m,95Mi,1701503708.778082
front-end-55b89655c7-sbjmk,54m,97Mi,1701503730.5941565
front-end-55b89655c7-sbjmk,49m,98Mi,1701503752.4178543
front-end-55b89655c7-sbjmk,43m,95Mi,1701503774.3162951
front-end-55b89655c7-sbjmk,53m,97Mi,1701503796.2484646
front-end-55b89655c7-sbjmk,67m,97Mi,1701503817.8679547
front-end-55b89655c7-sbjmk,67m,97Mi,1701503839.4298778
front-end-55b89655c7-sbjmk,74m,93Mi,1701503861.0204346
front-end-55b89655c7-sbjmk,80m,96Mi,1701503882.853038
front-end-55b89655c7-sbjmk,81m,96Mi,1701503904.4637687
front-end-55b89655c7-sbjmk,85m,97Mi,1701503926.1099975
front-end-55b89655c7-sbjmk,62m,98Mi,1701503948.1781447
front-end-55b89655c7-sbjmk,64m,98Mi,1701503970.0702982
front-end-55b89655c7-sbjmk,55m,98Mi,1701503991.9588528
front-end-55b89655c7-sbjmk,55m,98Mi,1701504013.7575526
front-end-55b89655c7-sbjmk,63m,92Mi,1701504035.8947651
front-end-55b89655c7-sbjmk,71m,92Mi,1701504057.8194172
