POD,CPU,MEMORY,TIME
front-end-55b89655c7-zgxlj,51m,71Mi,1701507346.3959575
front-end-55b89655c7-zgxlj,1m,71Mi,1701507368.415961
front-end-55b89655c7-zgxlj,54m,80Mi,1701507390.6133225
front-end-55b89655c7-zgxlj,54m,80Mi,1701507412.4457347
front-end-55b89655c7-zgxlj,65m,104Mi,1701507434.3040977
front-end-55b89655c7-zgxlj,69m,109Mi,1701507456.1465862
front-end-55b89655c7-zgxlj,79m,113Mi,1701507478.0729907
front-end-55b89655c7-zgxlj,63m,119Mi,1701507500.1669383
front-end-55b89655c7-zgxlj,56m,119Mi,1701507522.0070481
front-end-55b89655c7-zgxlj,62m,119Mi,1701507543.8729856
