Resource,Cooling Time,Current Time,Replicas,Mode
0,0,0,0,0
0.25,0,1701502486.2894917,,vertical
0.7499999999999999,0,1701502507.390257,,vertical
24.390243902439025,1701502528.47425,1701502528.47425,2,horizontal
49.24999999999999,1701502528.47425,1701502549.608253,,vertical
72.24999999999999,1701502528.47425,1701502570.8799927,,vertical
86.25,1701502528.47425,1701502592.241111,,vertical
95.25,1701502528.47425,1701502613.5360267,,vertical
82.5,1701502528.47425,1701502634.8223903,,vertical
65.3658536585366,1701502656.6810439,1701502656.6810439,1,horizontal
64.25,1701502656.6810439,1701502678.2415674,,vertical
70.25,1701502656.6810439,1701502699.4325986,,vertical
86.75,1701502656.6810439,1701502720.7677772,,vertical
97.5,1701502656.6810439,1701502741.810871,,vertical
108.49999999999999,1701502656.6810439,1701502762.8647785,,vertical
108.0,1701502656.6810439,1701502783.929826,,vertical
109.26829268292683,1701502805.0721278,1701502805.0721278,2,horizontal
109.25,1701502805.0721278,1701502826.2175713,,vertical
109.25,1701502805.0721278,1701502847.480647,,vertical
109.74999999999999,1701502805.0721278,1701502869.030165,,vertical
104.25,1701502805.0721278,1701502890.763042,,vertical
94.49999999999999,1701502805.0721278,1701502912.6030703,,vertical
85.5,1701502805.0721278,1701502933.9490688,,vertical
75.99999999999999,1701502805.0721278,1701502955.2788737,,vertical
70.25,1701502805.0721278,1701502976.5709274,,vertical
67.75,1701502805.0721278,1701502997.8930585,,vertical
67.0,1701502805.0721278,1701503019.2706819,,vertical
70.5,1701502805.0721278,1701503040.6046774,,vertical
76.58536585365854,1701503061.9494355,1701503061.9494355,3,horizontal
84.49999999999999,1701503061.9494355,1701503083.338037,,vertical
93.75,1701503061.9494355,1701503104.8867912,,vertical
100.99999999999999,1701503061.9494355,1701503126.5437,,vertical
95.99999999999999,1701503061.9494355,1701503148.0825095,,vertical
87.5,1701503061.9494355,1701503169.631617,,vertical
80.5,1701503061.9494355,1701503191.2066524,,vertical
73.25,1701503061.9494355,1701503212.8003304,,vertical
72.0,1701503061.9494355,1701503234.4574082,,vertical
76.25,1701503061.9494355,1701503256.0576665,,vertical
80.74999999999999,1701503061.9494355,1701503277.6233358,,vertical
81.25,1701503061.9494355,1701503299.1901968,,vertical
82.24999999999999,1701503061.9494355,1701503320.7377117,,vertical
70.2439024390244,1701503342.379869,1701503342.379869,2,horizontal
70.5,1701503342.379869,1701503363.9812913,,vertical
75.0,1701503342.379869,1701503385.3986595,,vertical
85.5,1701503342.379869,1701503406.7397707,,vertical
91.99999999999999,1701503342.379869,1701503428.0792167,,vertical
103.49999999999999,1701503342.379869,1701503449.4834886,,vertical
106.82926829268293,1701503470.8149402,1701503470.8149402,3,horizontal
108.0,1701503470.8149402,1701503492.2455873,,vertical
105.5,1701503470.8149402,1701503513.8047419,,vertical
99.25,1701503470.8149402,1701503535.3347774,,vertical
94.74999999999999,1701503470.8149402,1701503556.9921134,,vertical
89.49999999999999,1701503470.8149402,1701503578.5749507,,vertical
87.5,1701503470.8149402,1701503600.1795928,,vertical
84.74999999999999,1701503470.8149402,1701503621.7900696,,vertical
89.51219512195124,1701503643.4227467,1701503643.4227467,4,horizontal
97.24999999999999,1701503643.4227467,1701503665.1815698,,vertical
100.74999999999999,1701503643.4227467,1701503686.976086,,vertical
100.99999999999999,1701503643.4227467,1701503708.778082,,vertical
92.75,1701503643.4227467,1701503730.5941565,,vertical
82.75,1701503643.4227467,1701503752.4178543,,vertical
69.26829268292683,1701503774.3162951,1701503774.3162951,3,horizontal
61.5,1701503774.3162951,1701503796.2484646,,vertical
55.99999999999999,1701503774.3162951,1701503817.8679547,,vertical
60.25,1701503774.3162951,1701503839.4298778,,vertical
68.25,1701503774.3162951,1701503861.0204346,,vertical
74.74999999999999,1701503774.3162951,1701503882.853038,,vertical
83.65853658536585,1701503904.4637687,1701503904.4637687,4,horizontal
96.75,1701503904.4637687,1701503926.1099975,,vertical
98.24999999999999,1701503904.4637687,1701503948.1781447,,vertical
94.25,1701503904.4637687,1701503970.0702982,,vertical
89.74999999999999,1701503904.4637687,1701503991.9588528,,vertical
83.24999999999999,1701503904.4637687,1701504013.7575526,,vertical
72.6829268292683,1701504035.8947651,1701504035.8947651,3,horizontal
74.5,1701504035.8947651,1701504057.8194172,,vertical
81.25,1701504035.8947651,1701504079.4565852,,vertical
91.75,1701504035.8947651,1701504101.2898932,,vertical
97.5,1701504035.8947651,1701504123.063805,,vertical
106.5,1701504035.8947651,1701504145.044016,,vertical
109.25,1701504035.8947651,1701504166.6454306,,vertical
105.60975609756098,1701504188.2686172,1701504188.2686172,4,horizontal
104.49999999999999,1701504188.2686172,1701504210.034168,,vertical
103.0,1701504188.2686172,1701504232.2229328,,vertical
94.0,1701504188.2686172,1701504254.0563586,,vertical
91.25,1701504188.2686172,1701504275.9446852,,vertical
88.75,1701504188.2686172,1701504297.7343678,,vertical
85.0,1701504188.2686172,1701504319.6329148,,vertical
83.90243902439025,1701504341.6784866,1701504341.6784866,5,horizontal
86.25,1701504341.6784866,1701504363.6801817,,vertical
87.5,1701504341.6784866,1701504385.784471,,vertical
83.0,1701504341.6784866,1701504407.8633904,,vertical
82.5,1701504341.6784866,1701504430.0681787,,vertical
75.0,1701504341.6784866,1701504452.221354,,vertical
72.19512195121952,1701504474.5688615,1701504474.5688615,4,horizontal
67.0,1701504474.5688615,1701504496.8862267,,vertical
69.0,1701504474.5688615,1701504518.79982,,vertical
67.5,1701504474.5688615,1701504540.719793,,vertical
68.0,1701504474.5688615,1701504562.5780182,,vertical
66.75,1701504474.5688615,1701504584.3945878,,vertical
68.04878048780488,1701504606.1765065,1701504606.1765065,3,horizontal
67.75,1701504606.1765065,1701504628.2602658,,vertical
72.24999999999999,1701504606.1765065,1701504649.9850278,,vertical
81.5,1701504606.1765065,1701504671.5847986,,vertical
89.0,1701504606.1765065,1701504693.2528079,,vertical
95.25,1701504606.1765065,1701504714.955571,,vertical
96.99999999999999,1701504606.1765065,1701504736.5604737,,vertical
96.99999999999999,1701504606.1765065,1701504758.2243583,,vertical
93.24999999999999,1701504606.1765065,1701504779.7670398,,vertical
91.5,1701504606.1765065,1701504801.4446578,,vertical
88.0,1701504606.1765065,1701504822.9745855,,vertical
88.49999999999999,1701504606.1765065,1701504844.5678864,,vertical
89.74999999999999,1701504606.1765065,1701504866.6427336,,vertical
88.75,1701504606.1765065,1701504888.2389896,,vertical
88.04878048780489,1701504909.826161,1701504909.826161,4,horizontal
90.25,1701504909.826161,1701504931.6595984,,vertical
89.74999999999999,1701504909.826161,1701504953.708095,,vertical
85.74999999999999,1701504909.826161,1701504975.6012876,,vertical
84.49999999999999,1701504909.826161,1701504997.473763,,vertical
77.75,1701504909.826161,1701505019.3393853,,vertical
77.5,1701504909.826161,1701505041.2215424,,vertical
72.6829268292683,1701505063.119342,1701505063.119342,3,horizontal
75.0,1701505063.119342,1701505085.1760716,,vertical
75.25,1701505063.119342,1701505106.9011848,,vertical
80.5,1701505063.119342,1701505128.5663707,,vertical
85.25,1701505063.119342,1701505150.1623769,,vertical
90.74999999999999,1701505063.119342,1701505171.7768502,,vertical
95.1219512195122,1701505193.4920127,1701505193.4920127,4,horizontal
99.49999999999999,1701505193.4920127,1701505215.778146,,vertical
100.99999999999999,1701505193.4920127,1701505237.5851634,,vertical
95.5,1701505193.4920127,1701505259.7188478,,vertical
91.75,1701505193.4920127,1701505282.1821923,,vertical
85.99999999999999,1701505193.4920127,1701505304.0861795,,vertical
84.0,1701505193.4920127,1701505325.9245179,,vertical
76.09756097560975,1701505347.7203395,1701505347.7203395,3,horizontal
79.0,1701505347.7203395,1701505369.634969,,vertical
82.75,1701505347.7203395,1701505391.2666526,,vertical
87.24999999999999,1701505347.7203395,1701505412.9289901,,vertical
88.0,1701505347.7203395,1701505434.5499263,,vertical
93.75,1701505347.7203395,1701505456.1620586,,vertical
95.74999999999999,1701505347.7203395,1701505477.7847173,,vertical
95.25,1701505347.7203395,1701505499.3973503,,vertical
91.99999999999999,1701505347.7203395,1701505521.0646102,,vertical
94.8780487804878,1701505542.6976197,1701505542.6976197,4,horizontal
98.0,1701505542.6976197,1701505564.398561,,vertical
97.75,1701505542.6976197,1701505586.2131996,,vertical
95.99999999999999,1701505542.6976197,1701505608.0588548,,vertical
93.49999999999999,1701505542.6976197,1701505630.0392463,,vertical
87.75,1701505542.6976197,1701505651.8928287,,vertical
82.75,1701505542.6976197,1701505673.7635314,,vertical
80.25,1701505542.6976197,1701505695.6144764,,vertical
76.34146341463415,1701505717.4484236,1701505717.4484236,3,horizontal
80.0,1701505717.4484236,1701505739.4486268,,vertical
87.24999999999999,1701505717.4484236,1701505761.0879085,,vertical
88.49999999999999,1701505717.4484236,1701505782.930843,,vertical
93.24999999999999,1701505717.4484236,1701505804.5347967,,vertical
97.24999999999999,1701505717.4484236,1701505826.1681838,,vertical
100.0,1701505847.8864956,1701505847.8864956,4,horizontal
100.99999999999999,1701505847.8864956,1701505869.6802135,,vertical
105.0,1701505847.8864956,1701505891.444763,,vertical
108.49999999999999,1701505847.8864956,1701505913.4274669,,vertical
108.24999999999999,1701505847.8864956,1701505935.2176564,,vertical
103.0,1701505847.8864956,1701505957.0795777,,vertical
90.97560975609755,1701505978.8648632,1701505978.8648632,3,horizontal
88.0,1701505978.8648632,1701506000.7715747,,vertical
82.75,1701505978.8648632,1701506022.451939,,vertical
79.74999999999999,1701505978.8648632,1701506044.0447352,,vertical
79.5,1701505978.8648632,1701506065.69635,,vertical
85.0,1701505978.8648632,1701506087.2745512,,vertical
87.24999999999999,1701505978.8648632,1701506108.8938606,,vertical
86.25,1701505978.8648632,1701506130.450874,,vertical
86.5,1701505978.8648632,1701506152.0386522,,vertical
80.0,1701506173.6879034,1701506173.6879034,2,horizontal
81.75,1701506173.6879034,1701506195.6033857,,vertical
80.74999999999999,1701506173.6879034,1701506216.968379,,vertical
80.74999999999999,1701506173.6879034,1701506238.2973077,,vertical
85.0,1701506173.6879034,1701506259.6093397,,vertical
92.24999999999999,1701506173.6879034,1701506281.2803037,,vertical
92.6829268292683,1701506302.652081,1701506302.652081,3,horizontal
96.5,1701506302.652081,1701506324.038846,,vertical
101.25,1701506302.652081,1701506345.8056238,,vertical
95.74999999999999,1701506302.652081,1701506367.4113536,,vertical
92.24999999999999,1701506302.652081,1701506389.0561686,,vertical
93.24999999999999,1701506302.652081,1701506410.7659254,,vertical
94.49999999999999,1701506302.652081,1701506432.3420222,,vertical
91.25,1701506302.652081,1701506453.9732566,,vertical
95.60975609756099,1701506475.6097815,1701506475.6097815,4,horizontal
100.25,1701506475.6097815,1701506497.3484423,,vertical
95.99999999999999,1701506475.6097815,1701506519.1710484,,vertical
98.75,1701506475.6097815,1701506541.0528245,,vertical
91.99999999999999,1701506475.6097815,1701506562.8995318,,vertical
84.0,1701506475.6097815,1701506584.7133765,,vertical
81.25,1701506475.6097815,1701506606.8249774,,vertical
75.85365853658537,1701506628.6813161,1701506628.6813161,3,horizontal
70.5,1701506628.6813161,1701506650.5368693,,vertical
76.25,1701506628.6813161,1701506672.1456392,,vertical
81.25,1701506628.6813161,1701506693.728957,,vertical
85.0,1701506628.6813161,1701506715.3939404,,vertical
90.25,1701506628.6813161,1701506736.972488,,vertical
92.75,1701506628.6813161,1701506758.5645385,,vertical
91.75,1701506628.6813161,1701506780.1957762,,vertical
91.46341463414635,1701506802.0796587,1701506802.0796587,4,horizontal
91.75,1701506802.0796587,1701506823.8669338,,vertical
89.74999999999999,1701506802.0796587,1701506845.6395864,,vertical
89.0,1701506802.0796587,1701506867.4729092,,vertical
88.24999999999999,1701506802.0796587,1701506889.2981746,,vertical
80.5,1701506802.0796587,1701506911.1153545,,vertical
