POD,CPU,MEMORY,TIME
front-end-55b89655c7-6hrvj,1m,70Mi,1701778328.3383288
front-end-55b89655c7-6hrvj,68m,70Mi,1701778350.302383
front-end-55b89655c7-6hrvj,71m,78Mi,1701778372.4828386
front-end-55b89655c7-6hrvj,71m,97Mi,1701778394.5038216
front-end-55b89655c7-6hrvj,67m,100Mi,1701778416.634201
front-end-55b89655c7-6hrvj,82m,99Mi,1701778438.6958647
front-end-55b89655c7-6hrvj,87m,98Mi,1701778460.8427541
front-end-55b89655c7-6hrvj,75m,101Mi,1701778483.086226
front-end-55b89655c7-6hrvj,80m,99Mi,1701778505.4287345
front-end-55b89655c7-6hrvj,86m,101Mi,1701778527.4576576
front-end-55b89655c7-6hrvj,61m,98Mi,1701778549.6708255
front-end-55b89655c7-6hrvj,64m,99Mi,1701778571.859732
front-end-55b89655c7-6hrvj,77m,102Mi,1701778594.2752523
front-end-55b89655c7-6hrvj,65m,101Mi,1701778616.572976
front-end-55b89655c7-6hrvj,85m,101Mi,1701778639.0441117
front-end-55b89655c7-6hrvj,59m,103Mi,1701778661.4108245
front-end-55b89655c7-6hrvj,68m,101Mi,1701778683.8341687
front-end-55b89655c7-6hrvj,55m,102Mi,1701778706.228719
front-end-55b89655c7-6hrvj,66m,102Mi,1701778728.6721487
front-end-55b89655c7-6hrvj,51m,100Mi,1701778750.911856
front-end-55b89655c7-6hrvj,50m,96Mi,1701778773.3639367
front-end-55b89655c7-6hrvj,60m,99Mi,1701778795.4076786
front-end-55b89655c7-6hrvj,73m,98Mi,1701778817.6080155
front-end-55b89655c7-6hrvj,71m,100Mi,1701778839.682387
front-end-55b89655c7-6hrvj,99m,101Mi,1701778861.8949206
front-end-55b89655c7-6hrvj,67m,102Mi,1701778883.9323487
front-end-55b89655c7-6hrvj,68m,101Mi,1701778906.17669
front-end-55b89655c7-6hrvj,70m,101Mi,1701778928.4798641
front-end-55b89655c7-6hrvj,68m,101Mi,1701778950.7451365
front-end-55b89655c7-6hrvj,62m,98Mi,1701778972.9670646
front-end-55b89655c7-6hrvj,45m,101Mi,1701778995.3277457
front-end-55b89655c7-6hrvj,59m,98Mi,1701779017.6078687
front-end-55b89655c7-6hrvj,58m,98Mi,1701779040.1658046
front-end-55b89655c7-6hrvj,64m,100Mi,1701779062.1915865
front-end-55b89655c7-6hrvj,53m,101Mi,1701779084.3330321
front-end-55b89655c7-6hrvj,73m,100Mi,1701779106.410596
front-end-55b89655c7-6hrvj,81m,103Mi,1701779128.5775075
front-end-55b89655c7-6hrvj,90m,97Mi,1701779150.7697597
front-end-55b89655c7-6hrvj,88m,102Mi,1701779172.9951627
front-end-55b89655c7-6hrvj,75m,100Mi,1701779195.0601704
front-end-55b89655c7-6hrvj,73m,100Mi,1701779217.169854
front-end-55b89655c7-6hrvj,103m,98Mi,1701779239.2768261
front-end-55b89655c7-6hrvj,82m,101Mi,1701779261.5781202
front-end-55b89655c7-6hrvj,65m,101Mi,1701779283.6557004
front-end-55b89655c7-6hrvj,66m,100Mi,1701779305.8292165
front-end-55b89655c7-6hrvj,61m,102Mi,1701779327.8379853
front-end-55b89655c7-6hrvj,58m,98Mi,1701779349.892642
front-end-55b89655c7-6hrvj,60m,99Mi,1701779371.892492
front-end-55b89655c7-6hrvj,62m,100Mi,1701779393.9356213
front-end-55b89655c7-6hrvj,74m,100Mi,1701779415.9936259
