POD,CPU,MEMORY,TIME
front-end-55b89655c7-7fv2v,1m,70Mi,1701775566.4580293
front-end-55b89655c7-7fv2v,65m,71Mi,1701775588.3804827
front-end-55b89655c7-7fv2v,88m,101Mi,1701775610.4175906
front-end-55b89655c7-7fv2v,54m,103Mi,1701775632.4074538
front-end-55b89655c7-7fv2v,64m,107Mi,1701775654.356446
front-end-55b89655c7-7fv2v,61m,113Mi,1701775676.2308695
front-end-55b89655c7-7fv2v,67m,115Mi,1701775698.2602148
front-end-55b89655c7-7fv2v,56m,115Mi,1701775720.1572177
front-end-55b89655c7-7fv2v,65m,111Mi,1701775742.2468948
front-end-55b89655c7-7fv2v,65m,111Mi,1701775764.0880053
front-end-55b89655c7-7fv2v,39m,112Mi,1701775786.0954669
