POD,CPU,MEMORY,TIME
front-end-55b89655c7-8cch6,55m,65Mi,1701783092.7569036
front-end-55b89655c7-8cch6,1m,65Mi,1701783114.5540283
front-end-55b89655c7-8cch6,88m,73Mi,1701783136.2177246
front-end-55b89655c7-8cch6,78m,76Mi,1701783157.963171
front-end-55b89655c7-8cch6,100m,97Mi,1701783179.548484
front-end-55b89655c7-8cch6,89m,106Mi,1701783201.3218658
front-end-55b89655c7-8cch6,76m,110Mi,1701783223.0285578
front-end-55b89655c7-8cch6,85m,120Mi,1701783244.9127827
front-end-55b89655c7-8cch6,54m,121Mi,1701783266.8096411
front-end-55b89655c7-8cch6,66m,97Mi,1701783288.769697
front-end-55b89655c7-8cch6,70m,100Mi,1701783310.7377532
front-end-55b89655c7-8cch6,67m,98Mi,1701783332.7300406
front-end-55b89655c7-8cch6,62m,97Mi,1701783354.64966
front-end-55b89655c7-8cch6,50m,99Mi,1701783376.6900818
front-end-55b89655c7-8cch6,52m,101Mi,1701783398.647736
front-end-55b89655c7-8cch6,64m,99Mi,1701783420.544113
front-end-55b89655c7-8cch6,76m,103Mi,1701783442.1871088
front-end-55b89655c7-8cch6,71m,101Mi,1701783464.0451865
front-end-55b89655c7-8cch6,83m,97Mi,1701783485.7070491
front-end-55b89655c7-8cch6,86m,98Mi,1701783507.4691412
front-end-55b89655c7-8cch6,81m,101Mi,1701783529.2876801
front-end-55b89655c7-8cch6,77m,100Mi,1701783551.1025991
front-end-55b89655c7-8cch6,86m,99Mi,1701783572.9087477
front-end-55b89655c7-8cch6,96m,100Mi,1701783594.911052
front-end-55b89655c7-8cch6,65m,101Mi,1701783616.8118894
front-end-55b89655c7-8cch6,72m,100Mi,1701783638.9003935
front-end-55b89655c7-8cch6,73m,100Mi,1701783660.8316522
front-end-55b89655c7-8cch6,68m,99Mi,1701783682.8517087
front-end-55b89655c7-8cch6,77m,97Mi,1701783704.644812
front-end-55b89655c7-8cch6,58m,101Mi,1701783726.5308378
front-end-55b89655c7-8cch6,76m,101Mi,1701783748.433045
front-end-55b89655c7-8cch6,75m,101Mi,1701783770.3480415
front-end-55b89655c7-8cch6,74m,101Mi,1701783792.2166157
front-end-55b89655c7-8cch6,80m,101Mi,1701783814.1903358
front-end-55b89655c7-8cch6,75m,100Mi,1701783836.07578
front-end-55b89655c7-8cch6,87m,100Mi,1701783858.1389327
front-end-55b89655c7-8cch6,74m,102Mi,1701783880.0584974
front-end-55b89655c7-8cch6,81m,102Mi,1701783902.0663855
front-end-55b89655c7-8cch6,75m,100Mi,1701783923.9511852
front-end-55b89655c7-8cch6,64m,103Mi,1701783945.89008
front-end-55b89655c7-8cch6,61m,103Mi,1701783967.8477266
front-end-55b89655c7-8cch6,59m,104Mi,1701783989.800016
front-end-55b89655c7-8cch6,46m,101Mi,1701784011.690226
front-end-55b89655c7-8cch6,83m,106Mi,1701784033.4586575
front-end-55b89655c7-8cch6,61m,102Mi,1701784055.078727
front-end-55b89655c7-8cch6,61m,102Mi,1701784076.8511922
front-end-55b89655c7-8cch6,68m,102Mi,1701784098.4619062
front-end-55b89655c7-8cch6,61m,103Mi,1701784120.1275988
front-end-55b89655c7-8cch6,58m,104Mi,1701784141.7340653
front-end-55b89655c7-8cch6,51m,103Mi,1701784163.382174
front-end-55b89655c7-8cch6,33m,102Mi,1701784184.98649
front-end-55b89655c7-8cch6,13m,103Mi,1701784206.681177
