POD,CPU,MEMORY,TIME
front-end-55b89655c7-c5gdl,63m,70Mi,1701780740.0556455
front-end-55b89655c7-c5gdl,1m,70Mi,1701780762.0930033
front-end-55b89655c7-c5gdl,21m,61Mi,1701780784.0939436
front-end-55b89655c7-c5gdl,77m,79Mi,1701780806.2801676
front-end-55b89655c7-c5gdl,71m,96Mi,1701780828.3411188
front-end-55b89655c7-c5gdl,86m,98Mi,1701780850.5156543
front-end-55b89655c7-c5gdl,81m,101Mi,1701780872.6345196
front-end-55b89655c7-c5gdl,99m,102Mi,1701780894.853009
front-end-55b89655c7-c5gdl,70m,100Mi,1701780917.1029081
front-end-55b89655c7-c5gdl,91m,102Mi,1701780939.388012
front-end-55b89655c7-c5gdl,77m,102Mi,1701780961.530734
front-end-55b89655c7-c5gdl,77m,102Mi,1701780983.7430062
front-end-55b89655c7-c5gdl,93m,99Mi,1701781005.931631
front-end-55b89655c7-c5gdl,75m,100Mi,1701781028.5634427
front-end-55b89655c7-c5gdl,74m,96Mi,1701781050.9703374
front-end-55b89655c7-c5gdl,64m,97Mi,1701781073.4578848
front-end-55b89655c7-c5gdl,67m,100Mi,1701781095.8514085
front-end-55b89655c7-c5gdl,67m,100Mi,1701781118.2948704
front-end-55b89655c7-c5gdl,70m,99Mi,1701781140.72203
front-end-55b89655c7-c5gdl,51m,101Mi,1701781163.1603544
front-end-55b89655c7-c5gdl,47m,91Mi,1701781185.4671361
front-end-55b89655c7-c5gdl,70m,96Mi,1701781207.679939
front-end-55b89655c7-c5gdl,64m,97Mi,1701781229.6637323
front-end-55b89655c7-c5gdl,68m,97Mi,1701781251.849987
front-end-55b89655c7-c5gdl,63m,100Mi,1701781273.8478103
front-end-55b89655c7-c5gdl,61m,100Mi,1701781295.9804335
front-end-55b89655c7-c5gdl,62m,101Mi,1701781317.9868314
front-end-55b89655c7-c5gdl,61m,100Mi,1701781340.067008
front-end-55b89655c7-c5gdl,62m,93Mi,1701781362.1351514
front-end-55b89655c7-c5gdl,67m,96Mi,1701781384.2479157
front-end-55b89655c7-c5gdl,64m,98Mi,1701781406.2634609
front-end-55b89655c7-c5gdl,74m,98Mi,1701781428.3914797
front-end-55b89655c7-c5gdl,55m,101Mi,1701781450.396566
