POD,CPU,MEMORY,TIME
front-end-55b89655c7-dv8v5,1m,70Mi,1701779568.9907026
front-end-55b89655c7-dv8v5,47m,71Mi,1701779591.153559
front-end-55b89655c7-dv8v5,84m,101Mi,1701779613.3266098
front-end-55b89655c7-dv8v5,66m,103Mi,1701779635.334862
front-end-55b89655c7-dv8v5,99m,110Mi,1701779657.4882596
front-end-55b89655c7-dv8v5,69m,114Mi,1701779679.6711185
front-end-55b89655c7-dv8v5,82m,120Mi,1701779702.1954231
front-end-55b89655c7-dv8v5,65m,120Mi,1701779724.5610685
front-end-55b89655c7-dv8v5,66m,113Mi,1701779747.0482528
front-end-55b89655c7-dv8v5,71m,112Mi,1701779769.3895922
front-end-55b89655c7-dv8v5,57m,110Mi,1701779791.7554975
front-end-55b89655c7-dv8v5,57m,109Mi,1701779814.0647905
front-end-55b89655c7-dv8v5,65m,104Mi,1701779836.373632
front-end-55b89655c7-dv8v5,60m,104Mi,1701779858.7021632
front-end-55b89655c7-dv8v5,76m,105Mi,1701779881.1880822
front-end-55b89655c7-dv8v5,76m,105Mi,1701779903.565534
front-end-55b89655c7-dv8v5,68m,106Mi,1701779925.8410099
front-end-55b89655c7-dv8v5,83m,104Mi,1701779947.908086
front-end-55b89655c7-dv8v5,67m,105Mi,1701779970.0329897
front-end-55b89655c7-dv8v5,66m,104Mi,1701779992.0760694
front-end-55b89655c7-dv8v5,70m,104Mi,1701780014.2826207
front-end-55b89655c7-dv8v5,78m,105Mi,1701780036.4548495
front-end-55b89655c7-dv8v5,66m,105Mi,1701780058.677995
front-end-55b89655c7-dv8v5,65m,105Mi,1701780080.6713948
front-end-55b89655c7-dv8v5,73m,103Mi,1701780102.8526223
front-end-55b89655c7-dv8v5,81m,103Mi,1701780124.9855418
front-end-55b89655c7-dv8v5,81m,103Mi,1701780147.299035
front-end-55b89655c7-dv8v5,59m,104Mi,1701780169.4137344
front-end-55b89655c7-dv8v5,70m,104Mi,1701780191.685332
front-end-55b89655c7-dv8v5,62m,103Mi,1701780213.8051045
front-end-55b89655c7-dv8v5,60m,103Mi,1701780236.0567162
front-end-55b89655c7-dv8v5,50m,104Mi,1701780258.3158543
front-end-55b89655c7-dv8v5,54m,102Mi,1701780280.6345224
front-end-55b89655c7-dv8v5,56m,102Mi,1701780302.9466734
front-end-55b89655c7-dv8v5,56m,102Mi,1701780325.08414
front-end-55b89655c7-dv8v5,50m,103Mi,1701780347.0341709
front-end-55b89655c7-dv8v5,50m,104Mi,1701780369.2042043
front-end-55b89655c7-dv8v5,63m,100Mi,1701780391.177412
front-end-55b89655c7-dv8v5,58m,100Mi,1701780413.2109513
front-end-55b89655c7-dv8v5,51m,104Mi,1701780435.2132757
