POD,CPU,MEMORY,TIME
front-end-55b89655c7-spwd9,130m,71Mi,1701773790.017107
front-end-55b89655c7-spwd9,33m,62Mi,1701773811.642797
front-end-55b89655c7-spwd9,48m,70Mi,1701773833.1864026
front-end-55b89655c7-spwd9,44m,76Mi,1701773854.4849448
front-end-55b89655c7-spwd9,57m,96Mi,1701773875.890958
front-end-55b89655c7-spwd9,89m,97Mi,1701773897.2616081
front-end-55b89655c7-spwd9,68m,97Mi,1701773918.668075
front-end-55b89655c7-spwd9,57m,99Mi,1701773939.9576468
front-end-55b89655c7-spwd9,62m,98Mi,1701773961.393118
front-end-55b89655c7-spwd9,72m,97Mi,1701773982.7507446
front-end-55b89655c7-spwd9,57m,99Mi,1701774004.2277722
front-end-55b89655c7-spwd9,47m,101Mi,1701774025.5141037
front-end-55b89655c7-spwd9,57m,98Mi,1701774046.929059
front-end-55b89655c7-spwd9,49m,97Mi,1701774068.2633455
front-end-55b89655c7-spwd9,54m,100Mi,1701774089.6974664
front-end-55b89655c7-spwd9,49m,94Mi,1701774111.1185796
front-end-55b89655c7-spwd9,59m,96Mi,1701774132.504566
front-end-55b89655c7-spwd9,65m,93Mi,1701774153.886105
front-end-55b89655c7-spwd9,49m,94Mi,1701774175.3356197
front-end-55b89655c7-spwd9,56m,98Mi,1701774196.8771474
front-end-55b89655c7-spwd9,56m,98Mi,1701774218.454216
front-end-55b89655c7-spwd9,82m,94Mi,1701774239.8135912
front-end-55b89655c7-spwd9,85m,107Mi,1701774261.3091404
front-end-55b89655c7-spwd9,66m,106Mi,1701774282.8470366
front-end-55b89655c7-spwd9,58m,106Mi,1701774304.4906433
front-end-55b89655c7-spwd9,37m,106Mi,1701774326.1801488
front-end-55b89655c7-spwd9,41m,108Mi,1701774347.8328624
front-end-55b89655c7-spwd9,50m,107Mi,1701774369.4029675
front-end-55b89655c7-spwd9,62m,107Mi,1701774391.188151
front-end-55b89655c7-spwd9,77m,108Mi,1701774412.5754848
front-end-55b89655c7-spwd9,90m,117Mi,1701774434.1236901
front-end-55b89655c7-spwd9,87m,119Mi,1701774455.5521877
front-end-55b89655c7-spwd9,94m,117Mi,1701774476.9828773
front-end-55b89655c7-spwd9,71m,114Mi,1701774498.3296497
front-end-55b89655c7-spwd9,70m,116Mi,1701774519.8530877
front-end-55b89655c7-spwd9,72m,117Mi,1701774541.4597695
front-end-55b89655c7-spwd9,72m,117Mi,1701774563.157994
front-end-55b89655c7-spwd9,68m,119Mi,1701774584.8139155
front-end-55b89655c7-spwd9,60m,120Mi,1701774606.581295
front-end-55b89655c7-spwd9,70m,117Mi,1701774628.1873963
front-end-55b89655c7-spwd9,59m,117Mi,1701774649.9799633
front-end-55b89655c7-spwd9,68m,117Mi,1701774671.5892935
front-end-55b89655c7-spwd9,67m,116Mi,1701774693.3702617
front-end-55b89655c7-spwd9,63m,116Mi,1701774715.0171804
front-end-55b89655c7-spwd9,72m,118Mi,1701774736.839536
front-end-55b89655c7-spwd9,55m,117Mi,1701774758.6616101
front-end-55b89655c7-spwd9,73m,115Mi,1701774780.4548585
front-end-55b89655c7-spwd9,98m,118Mi,1701774802.028791
front-end-55b89655c7-spwd9,82m,120Mi,1701774823.8404706
front-end-55b89655c7-spwd9,80m,120Mi,1701774845.5615366
front-end-55b89655c7-spwd9,94m,121Mi,1701774867.581842
front-end-55b89655c7-spwd9,63m,117Mi,1701774889.456553
front-end-55b89655c7-spwd9,58m,111Mi,1701774911.462107
front-end-55b89655c7-spwd9,63m,110Mi,1701774933.3907752
front-end-55b89655c7-spwd9,48m,114Mi,1701774955.3757906
front-end-55b89655c7-spwd9,54m,117Mi,1701774977.5279856
front-end-55b89655c7-spwd9,49m,115Mi,1701774999.303468
front-end-55b89655c7-spwd9,66m,115Mi,1701775020.9275088
front-end-55b89655c7-spwd9,76m,118Mi,1701775042.6711109
front-end-55b89655c7-spwd9,79m,119Mi,1701775064.3376215
front-end-55b89655c7-spwd9,75m,120Mi,1701775086.1938443
front-end-55b89655c7-spwd9,72m,119Mi,1701775107.86689
front-end-55b89655c7-spwd9,86m,118Mi,1701775129.5969827
front-end-55b89655c7-spwd9,66m,116Mi,1701775151.2445178
