POD,CPU,MEMORY,TIME
front-end-55b89655c7-vssg5,1m,65Mi,1701781839.5011961
front-end-55b89655c7-vssg5,60m,65Mi,1701781861.2957013
front-end-55b89655c7-vssg5,86m,95Mi,1701781883.0587153
front-end-55b89655c7-vssg5,68m,99Mi,1701781904.965004
front-end-55b89655c7-vssg5,59m,105Mi,1701781926.663975
front-end-55b89655c7-vssg5,59m,105Mi,1701781948.4628239
front-end-55b89655c7-vssg5,57m,110Mi,1701781970.1661625
front-end-55b89655c7-vssg5,49m,111Mi,1701781991.9483275
front-end-55b89655c7-vssg5,57m,109Mi,1701782013.735757
front-end-55b89655c7-vssg5,70m,101Mi,1701782035.520068
front-end-55b89655c7-vssg5,53m,102Mi,1701782057.2048528
front-end-55b89655c7-vssg5,66m,102Mi,1701782078.97601
front-end-55b89655c7-vssg5,52m,102Mi,1701782100.6381917
front-end-55b89655c7-vssg5,56m,101Mi,1701782122.547083
front-end-55b89655c7-vssg5,53m,100Mi,1701782144.3223257
