POD,CPU,MEMORY,TIME
front-end-55b89655c7-vxvp4,31m,70Mi,1701776352.7544503
front-end-55b89655c7-vxvp4,15m,61Mi,1701776374.6787386
front-end-55b89655c7-vxvp4,81m,80Mi,1701776396.7905407
front-end-55b89655c7-vxvp4,58m,100Mi,1701776418.703808
front-end-55b89655c7-vxvp4,78m,104Mi,1701776440.7031558
front-end-55b89655c7-vxvp4,70m,111Mi,1701776462.5381775
front-end-55b89655c7-vxvp4,67m,114Mi,1701776484.4831235
front-end-55b89655c7-vxvp4,70m,120Mi,1701776506.408454
front-end-55b89655c7-vxvp4,66m,118Mi,1701776528.3575559
front-end-55b89655c7-vxvp4,85m,110Mi,1701776550.207325
front-end-55b89655c7-vxvp4,77m,114Mi,1701776572.2319639
front-end-55b89655c7-vxvp4,64m,111Mi,1701776594.14559
front-end-55b89655c7-vxvp4,72m,109Mi,1701776616.2748408
front-end-55b89655c7-vxvp4,67m,109Mi,1701776638.2146509
front-end-55b89655c7-vxvp4,76m,109Mi,1701776660.2565632
front-end-55b89655c7-vxvp4,58m,106Mi,1701776682.143522
front-end-55b89655c7-vxvp4,60m,106Mi,1701776704.2718852
front-end-55b89655c7-vxvp4,78m,109Mi,1701776726.4049714
front-end-55b89655c7-vxvp4,72m,106Mi,1701776748.5047803
front-end-55b89655c7-vxvp4,71m,108Mi,1701776770.5304985
front-end-55b89655c7-vxvp4,57m,109Mi,1701776792.6253355
front-end-55b89655c7-vxvp4,64m,108Mi,1701776814.546349
front-end-55b89655c7-vxvp4,81m,108Mi,1701776837.3195152
front-end-55b89655c7-vxvp4,70m,107Mi,1701776859.799895
front-end-55b89655c7-vxvp4,76m,106Mi,1701776882.6089447
front-end-55b89655c7-vxvp4,70m,106Mi,1701776904.6915288
front-end-55b89655c7-vxvp4,75m,108Mi,1701776926.7655258
front-end-55b89655c7-vxvp4,76m,109Mi,1701776948.7621927
front-end-55b89655c7-vxvp4,68m,108Mi,1701776970.8127089
front-end-55b89655c7-vxvp4,60m,108Mi,1701776992.90633
front-end-55b89655c7-vxvp4,67m,109Mi,1701777014.881131
front-end-55b89655c7-vxvp4,64m,105Mi,1701777036.7709277
front-end-55b89655c7-vxvp4,62m,105Mi,1701777058.9141421
front-end-55b89655c7-vxvp4,69m,105Mi,1701777080.864656
front-end-55b89655c7-vxvp4,67m,105Mi,1701777102.8929746
front-end-55b89655c7-vxvp4,87m,106Mi,1701777124.87664
front-end-55b89655c7-vxvp4,65m,104Mi,1701777146.8860052
front-end-55b89655c7-vxvp4,65m,109Mi,1701777168.9361498
front-end-55b89655c7-vxvp4,74m,106Mi,1701777191.0158114
front-end-55b89655c7-vxvp4,65m,106Mi,1701777212.9534037
front-end-55b89655c7-vxvp4,57m,108Mi,1701777234.9499176
front-end-55b89655c7-vxvp4,44m,107Mi,1701777256.8993635
front-end-55b89655c7-vxvp4,46m,107Mi,1701777279.093937
