POD,CPU,MEMORY,TIME
front-end-55b89655c7-w58qb,1m,71Mi,1701783572.9087477
front-end-55b89655c7-w58qb,24m,60Mi,1701783594.911052
front-end-55b89655c7-w58qb,64m,79Mi,1701783616.8118894
front-end-55b89655c7-w58qb,88m,99Mi,1701783638.9003935
front-end-55b89655c7-w58qb,71m,99Mi,1701783660.8316522
front-end-55b89655c7-w58qb,85m,102Mi,1701783682.8517087
front-end-55b89655c7-w58qb,79m,101Mi,1701783704.644812
front-end-55b89655c7-w58qb,71m,99Mi,1701783726.5308378
front-end-55b89655c7-w58qb,73m,101Mi,1701783748.433045
front-end-55b89655c7-w58qb,66m,100Mi,1701783770.3480415
front-end-55b89655c7-w58qb,63m,98Mi,1701783792.2166157
front-end-55b89655c7-w58qb,68m,100Mi,1701783814.1903358
front-end-55b89655c7-w58qb,82m,100Mi,1701783836.07578
front-end-55b89655c7-w58qb,91m,100Mi,1701783858.1389327
front-end-55b89655c7-w58qb,76m,100Mi,1701783880.0584974
front-end-55b89655c7-w58qb,84m,99Mi,1701783902.0663855
front-end-55b89655c7-w58qb,65m,101Mi,1701783923.9511852
front-end-55b89655c7-w58qb,61m,102Mi,1701783945.89008
front-end-55b89655c7-w58qb,60m,99Mi,1701783967.8477266
front-end-55b89655c7-w58qb,54m,97Mi,1701783989.800016
front-end-55b89655c7-w58qb,44m,97Mi,1701784011.690226
