POD,CPU,MEMORY,TIME
front-end-55b89655c7-wwgzm,50m,65Mi,1701782359.432243
front-end-55b89655c7-wwgzm,1m,65Mi,1701782381.1823623
front-end-55b89655c7-wwgzm,83m,66Mi,1701782402.824584
front-end-55b89655c7-wwgzm,67m,75Mi,1701782424.5769587
front-end-55b89655c7-wwgzm,65m,82Mi,1701782446.32776
front-end-55b89655c7-wwgzm,62m,95Mi,1701782468.084326
front-end-55b89655c7-wwgzm,59m,93Mi,1701782489.7632964
front-end-55b89655c7-wwgzm,50m,95Mi,1701782511.51862
front-end-55b89655c7-wwgzm,41m,96Mi,1701782533.1614227
front-end-55b89655c7-wwgzm,44m,89Mi,1701782554.9732583
front-end-55b89655c7-wwgzm,45m,91Mi,1701782576.6552107
front-end-55b89655c7-wwgzm,40m,93Mi,1701782598.3950255
front-end-55b89655c7-wwgzm,32m,92Mi,1701782620.0684412
