POD,CPU,MEMORY,TIME
front-end-55b89655c7-z7cqg,15m,55Mi,1701779702.1954231
front-end-55b89655c7-z7cqg,36m,59Mi,1701779724.5610685
front-end-55b89655c7-z7cqg,59m,74Mi,1701779747.0482528
front-end-55b89655c7-z7cqg,74m,84Mi,1701779769.3895922
front-end-55b89655c7-z7cqg,61m,94Mi,1701779791.7554975
front-end-55b89655c7-z7cqg,53m,94Mi,1701779814.0647905
front-end-55b89655c7-z7cqg,71m,94Mi,1701779836.373632
front-end-55b89655c7-z7cqg,56m,95Mi,1701779858.7021632
front-end-55b89655c7-z7cqg,63m,94Mi,1701779881.1880822
front-end-55b89655c7-z7cqg,61m,98Mi,1701779903.565534
