POD,CPU,MEMORY,TIME
front-end-55b89655c7-zqpq7,9m,55Mi,1701774541.4597695
front-end-55b89655c7-zqpq7,21m,55Mi,1701774563.157994
front-end-55b89655c7-zqpq7,81m,74Mi,1701774584.8139155
front-end-55b89655c7-zqpq7,74m,79Mi,1701774606.581295
front-end-55b89655c7-zqpq7,74m,97Mi,1701774628.1873963
front-end-55b89655c7-zqpq7,67m,107Mi,1701774649.9799633
front-end-55b89655c7-zqpq7,67m,107Mi,1701774671.5892935
front-end-55b89655c7-zqpq7,68m,111Mi,1701774693.3702617
front-end-55b89655c7-zqpq7,84m,106Mi,1701774715.0171804
front-end-55b89655c7-zqpq7,75m,106Mi,1701774736.839536
front-end-55b89655c7-zqpq7,78m,107Mi,1701774758.6616101
front-end-55b89655c7-zqpq7,81m,108Mi,1701774780.4548585
front-end-55b89655c7-zqpq7,83m,99Mi,1701774802.028791
front-end-55b89655c7-zqpq7,77m,98Mi,1701774823.8404706
front-end-55b89655c7-zqpq7,80m,98Mi,1701774845.5615366
front-end-55b89655c7-zqpq7,85m,99Mi,1701774867.581842
front-end-55b89655c7-zqpq7,57m,99Mi,1701774889.456553
front-end-55b89655c7-zqpq7,54m,98Mi,1701774911.462107
front-end-55b89655c7-zqpq7,59m,95Mi,1701774933.3907752
front-end-55b89655c7-zqpq7,53m,98Mi,1701774955.3757906
front-end-55b89655c7-zqpq7,53m,98Mi,1701774977.5279856
front-end-55b89655c7-zqpq7,63m,94Mi,1701774999.303468
front-end-55b89655c7-zqpq7,66m,96Mi,1701775020.9275088
front-end-55b89655c7-zqpq7,71m,98Mi,1701775042.6711109
front-end-55b89655c7-zqpq7,76m,99Mi,1701775064.3376215
front-end-55b89655c7-zqpq7,83m,100Mi,1701775086.1938443
front-end-55b89655c7-zqpq7,91m,99Mi,1701775107.86689
front-end-55b89655c7-zqpq7,82m,99Mi,1701775129.5969827
front-end-55b89655c7-zqpq7,82m,99Mi,1701775151.2445178
front-end-55b89655c7-zqpq7,85m,101Mi,1701775172.9741783
front-end-55b89655c7-zqpq7,75m,101Mi,1701775194.6927521
front-end-55b89655c7-zqpq7,62m,101Mi,1701775216.4599936
front-end-55b89655c7-zqpq7,98m,101Mi,1701775238.1519089
front-end-55b89655c7-zqpq7,84m,99Mi,1701775259.9927344
front-end-55b89655c7-zqpq7,79m,100Mi,1701775281.8934247
front-end-55b89655c7-zqpq7,97m,98Mi,1701775304.103954
front-end-55b89655c7-zqpq7,73m,100Mi,1701775326.0585895
front-end-55b89655c7-zqpq7,72m,97Mi,1701775348.0929492
front-end-55b89655c7-zqpq7,76m,99Mi,1701775369.9393299
front-end-55b89655c7-zqpq7,77m,97Mi,1701775392.0102715
front-end-55b89655c7-zqpq7,71m,100Mi,1701775414.0231028
front-end-55b89655c7-zqpq7,66m,100Mi,1701775435.7905018
front-end-55b89655c7-zqpq7,78m,101Mi,1701775457.4691508
front-end-55b89655c7-zqpq7,81m,102Mi,1701775479.2302299
front-end-55b89655c7-zqpq7,87m,99Mi,1701775500.8964138
front-end-55b89655c7-zqpq7,80m,99Mi,1701775522.754864
front-end-55b89655c7-zqpq7,83m,98Mi,1701775544.4970574
front-end-55b89655c7-zqpq7,84m,100Mi,1701775566.4580293
front-end-55b89655c7-zqpq7,75m,100Mi,1701775588.3804827
