POD,CPU,MEMORY,TIME
front-end-55b89655c7-fjk8p,1m,70Mi,1701836465.8065066
front-end-55b89655c7-fjk8p,2m,71Mi,1701836487.7352448
front-end-55b89655c7-fjk8p,64m,80Mi,1701836509.8843124
front-end-55b89655c7-fjk8p,64m,98Mi,1701836531.823061
front-end-55b89655c7-fjk8p,77m,101Mi,1701836553.7968092
front-end-55b89655c7-fjk8p,66m,103Mi,1701836575.5855534
front-end-55b89655c7-fjk8p,77m,102Mi,1701836597.5414
front-end-55b89655c7-fjk8p,74m,101Mi,1701836619.497621
front-end-55b89655c7-fjk8p,63m,102Mi,1701836641.4882522
front-end-55b89655c7-fjk8p,75m,102Mi,1701836663.4329252
front-end-55b89655c7-fjk8p,69m,103Mi,1701836685.489444
front-end-55b89655c7-fjk8p,77m,101Mi,1701836707.4298515
front-end-55b89655c7-fjk8p,61m,102Mi,1701836729.5422895
front-end-55b89655c7-fjk8p,77m,104Mi,1701836751.4947572
front-end-55b89655c7-fjk8p,63m,101Mi,1701836773.5205615
front-end-55b89655c7-fjk8p,50m,100Mi,1701836795.4138331
front-end-55b89655c7-fjk8p,54m,101Mi,1701836817.4533467
front-end-55b89655c7-fjk8p,69m,101Mi,1701836839.474575
front-end-55b89655c7-fjk8p,58m,101Mi,1701836861.4670475
front-end-55b89655c7-fjk8p,66m,99Mi,1701836883.44286
