POD,CPU,MEMORY,TIME
front-end-55b89655c7-hfzzc,3m,71Mi,1701837361.1829908
front-end-55b89655c7-hfzzc,70m,70Mi,1701837383.2182198
front-end-55b89655c7-hfzzc,68m,78Mi,1701837405.0911248
front-end-55b89655c7-hfzzc,75m,100Mi,1701837427.0977514
front-end-55b89655c7-hfzzc,63m,97Mi,1701837448.9730432
front-end-55b89655c7-hfzzc,78m,101Mi,1701837471.0077684
front-end-55b89655c7-hfzzc,64m,99Mi,1701837492.963037
front-end-55b89655c7-hfzzc,58m,100Mi,1701837514.9539125
front-end-55b89655c7-hfzzc,79m,99Mi,1701837536.8580766
front-end-55b89655c7-hfzzc,51m,102Mi,1701837558.905178
front-end-55b89655c7-hfzzc,45m,99Mi,1701837580.7863455
front-end-55b89655c7-hfzzc,1m,98Mi,1701837602.8808079
