POD,CPU,MEMORY,TIME
front-end-55b89655c7-hxdbz,3m,72Mi,1701843276.1285894
front-end-55b89655c7-hxdbz,76m,79Mi,1701843298.080885
front-end-55b89655c7-hxdbz,72m,81Mi,1701843320.1228914
front-end-55b89655c7-hxdbz,62m,101Mi,1701843342.0134706
front-end-55b89655c7-hxdbz,66m,107Mi,1701843364.0587988
front-end-55b89655c7-hxdbz,67m,110Mi,1701843386.0847263
front-end-55b89655c7-hxdbz,81m,118Mi,1701843408.1481245
front-end-55b89655c7-hxdbz,64m,117Mi,1701843430.0585437
front-end-55b89655c7-hxdbz,72m,110Mi,1701843452.1047783
front-end-55b89655c7-hxdbz,85m,111Mi,1701843474.068707
front-end-55b89655c7-hxdbz,77m,111Mi,1701843497.5571342
front-end-55b89655c7-hxdbz,65m,100Mi,1701843519.418525
front-end-55b89655c7-hxdbz,58m,103Mi,1701843541.3729262
front-end-55b89655c7-hxdbz,47m,104Mi,1701843563.2016802
front-end-55b89655c7-hxdbz,54m,104Mi,1701843585.158569
front-end-55b89655c7-hxdbz,47m,99Mi,1701843607.0763497
front-end-55b89655c7-hxdbz,49m,101Mi,1701843629.0750527
front-end-55b89655c7-hxdbz,59m,101Mi,1701843651.0007596
front-end-55b89655c7-hxdbz,36m,104Mi,1701843672.7837424
