POD,CPU,MEMORY,TIME
front-end-55b89655c7-j5mjf,1m,70Mi,1701835983.802656
front-end-55b89655c7-j5mjf,20m,63Mi,1701836005.700544
front-end-55b89655c7-j5mjf,81m,76Mi,1701836027.7807405
front-end-55b89655c7-j5mjf,81m,76Mi,1701836049.675719
front-end-55b89655c7-j5mjf,61m,95Mi,1701836071.6997278
front-end-55b89655c7-j5mjf,73m,98Mi,1701836093.522657
front-end-55b89655c7-j5mjf,74m,96Mi,1701836115.4667873
front-end-55b89655c7-j5mjf,66m,100Mi,1701836137.306742
front-end-55b89655c7-j5mjf,60m,100Mi,1701836159.27351
front-end-55b89655c7-j5mjf,60m,100Mi,1701836181.2716532
front-end-55b89655c7-j5mjf,60m,100Mi,1701836203.334119
front-end-55b89655c7-j5mjf,65m,97Mi,1701836225.251529
front-end-55b89655c7-j5mjf,63m,100Mi,1701836247.2513907
front-end-55b89655c7-j5mjf,68m,98Mi,1701836269.1884618
front-end-55b89655c7-j5mjf,64m,99Mi,1701836291.2861125
front-end-55b89655c7-j5mjf,64m,94Mi,1701836313.2517629
