POD,CPU,MEMORY,TIME
front-end-55b89655c7-nclbc,6m,67Mi,1701833962.8757176
front-end-55b89655c7-nclbc,58m,65Mi,1701833984.5518494
front-end-55b89655c7-nclbc,73m,70Mi,1701834006.2374618
front-end-55b89655c7-nclbc,62m,73Mi,1701834027.951255
front-end-55b89655c7-nclbc,59m,90Mi,1701834049.5646324
front-end-55b89655c7-nclbc,76m,93Mi,1701834071.3056352
front-end-55b89655c7-nclbc,55m,95Mi,1701834092.9346223
front-end-55b89655c7-nclbc,53m,94Mi,1701834114.7219586
front-end-55b89655c7-nclbc,50m,94Mi,1701834136.3251357
front-end-55b89655c7-nclbc,46m,94Mi,1701834158.0176308
front-end-55b89655c7-nclbc,37m,96Mi,1701834179.6916792
