POD,CPU,MEMORY,TIME
front-end-55b89655c7-qxrvz,1m,70Mi,1701840337.6341684
front-end-55b89655c7-qxrvz,22m,62Mi,1701840359.6730208
front-end-55b89655c7-qxrvz,73m,99Mi,1701840381.6122408
front-end-55b89655c7-qxrvz,64m,103Mi,1701840403.5987637
front-end-55b89655c7-qxrvz,68m,112Mi,1701840425.5470636
front-end-55b89655c7-qxrvz,79m,113Mi,1701840447.6758242
front-end-55b89655c7-qxrvz,79m,119Mi,1701840469.666646
front-end-55b89655c7-qxrvz,84m,115Mi,1701840491.701177
front-end-55b89655c7-qxrvz,87m,115Mi,1701840513.652613
front-end-55b89655c7-qxrvz,68m,109Mi,1701840535.7209382
front-end-55b89655c7-qxrvz,86m,102Mi,1701840557.8915539
front-end-55b89655c7-qxrvz,73m,102Mi,1701840580.2208898
front-end-55b89655c7-qxrvz,79m,105Mi,1701840602.4473014
front-end-55b89655c7-qxrvz,68m,104Mi,1701840624.7637224
front-end-55b89655c7-qxrvz,71m,104Mi,1701840646.8123755
front-end-55b89655c7-qxrvz,78m,107Mi,1701840669.0345128
front-end-55b89655c7-qxrvz,68m,102Mi,1701840691.1573174
front-end-55b89655c7-qxrvz,66m,106Mi,1701840713.3846765
front-end-55b89655c7-qxrvz,60m,106Mi,1701840735.5914614
front-end-55b89655c7-qxrvz,60m,108Mi,1701840757.6022289
front-end-55b89655c7-qxrvz,63m,103Mi,1701840779.5444338
front-end-55b89655c7-qxrvz,54m,104Mi,1701840801.4784615
front-end-55b89655c7-qxrvz,61m,104Mi,1701840823.3331945
front-end-55b89655c7-qxrvz,64m,105Mi,1701840845.344069
front-end-55b89655c7-qxrvz,58m,106Mi,1701840867.267056
