POD,CPU,MEMORY,TIME
front-end-55b89655c7-sfx87,56m,65Mi,1701834351.7799003
front-end-55b89655c7-sfx87,56m,65Mi,1701834373.5190403
front-end-55b89655c7-sfx87,75m,90Mi,1701834395.0771017
front-end-55b89655c7-sfx87,76m,93Mi,1701834416.7838545
front-end-55b89655c7-sfx87,85m,95Mi,1701834438.47344
front-end-55b89655c7-sfx87,85m,93Mi,1701834460.2193966
front-end-55b89655c7-sfx87,93m,95Mi,1701834481.8548038
front-end-55b89655c7-sfx87,74m,93Mi,1701834503.5729163
front-end-55b89655c7-sfx87,73m,94Mi,1701834525.219088
front-end-55b89655c7-sfx87,53m,94Mi,1701834547.0058017
front-end-55b89655c7-sfx87,63m,96Mi,1701834568.660103
front-end-55b89655c7-sfx87,70m,96Mi,1701834590.358602
front-end-55b89655c7-sfx87,66m,95Mi,1701834611.9698405
front-end-55b89655c7-sfx87,72m,92Mi,1701834633.7051365
front-end-55b89655c7-sfx87,74m,95Mi,1701834655.429732
front-end-55b89655c7-sfx87,89m,96Mi,1701834677.195287
front-end-55b89655c7-sfx87,75m,94Mi,1701834698.8515027
front-end-55b89655c7-sfx87,89m,95Mi,1701834720.5988126
front-end-55b89655c7-sfx87,69m,95Mi,1701834742.290941
front-end-55b89655c7-sfx87,96m,97Mi,1701834764.1310978
front-end-55b89655c7-sfx87,81m,95Mi,1701834785.7851608
front-end-55b89655c7-sfx87,69m,94Mi,1701834807.551662
front-end-55b89655c7-sfx87,72m,95Mi,1701834829.1847441
front-end-55b89655c7-sfx87,81m,95Mi,1701834850.918954
front-end-55b89655c7-sfx87,84m,94Mi,1701834872.6908453
front-end-55b89655c7-sfx87,99m,95Mi,1701834894.4652538
front-end-55b89655c7-sfx87,78m,95Mi,1701834916.1795769
front-end-55b89655c7-sfx87,87m,97Mi,1701834938.144235
front-end-55b89655c7-sfx87,74m,97Mi,1701834959.9132636
front-end-55b89655c7-sfx87,65m,96Mi,1701834981.9296083
front-end-55b89655c7-sfx87,59m,94Mi,1701835003.7664936
front-end-55b89655c7-sfx87,57m,95Mi,1701835025.6907616
front-end-55b89655c7-sfx87,68m,96Mi,1701835047.547337
front-end-55b89655c7-sfx87,68m,93Mi,1701835069.5514305
