POD,CPU,MEMORY,TIME
front-end-55b89655c7-t2nsb,1m,65Mi,1701841325.2345858
front-end-55b89655c7-t2nsb,35m,60Mi,1701841346.7936687
front-end-55b89655c7-t2nsb,85m,87Mi,1701841368.5502262
front-end-55b89655c7-t2nsb,85m,87Mi,1701841390.188643
front-end-55b89655c7-t2nsb,69m,97Mi,1701841411.9289188
front-end-55b89655c7-t2nsb,67m,96Mi,1701841433.6468334
front-end-55b89655c7-t2nsb,61m,94Mi,1701841455.3870282
front-end-55b89655c7-t2nsb,88m,94Mi,1701841477.0794103
front-end-55b89655c7-t2nsb,78m,94Mi,1701841498.8474362
front-end-55b89655c7-t2nsb,69m,92Mi,1701841520.5026777
front-end-55b89655c7-t2nsb,64m,93Mi,1701841542.2680044
front-end-55b89655c7-t2nsb,53m,96Mi,1701841563.8471653
front-end-55b89655c7-t2nsb,53m,96Mi,1701841585.585832
front-end-55b89655c7-t2nsb,50m,90Mi,1701841607.2324924
