POD,CPU,MEMORY,TIME
front-end-55b89655c7-twsmx,2m,71Mi,1701839131.2455523
front-end-55b89655c7-twsmx,2m,71Mi,1701839153.182486
front-end-55b89655c7-twsmx,71m,96Mi,1701839175.156953
front-end-55b89655c7-twsmx,90m,103Mi,1701839196.9947069
front-end-55b89655c7-twsmx,79m,108Mi,1701839218.8812923
front-end-55b89655c7-twsmx,73m,116Mi,1701839240.8699634
front-end-55b89655c7-twsmx,72m,123Mi,1701839262.9964328
front-end-55b89655c7-twsmx,70m,121Mi,1701839285.1001859
front-end-55b89655c7-twsmx,63m,120Mi,1701839307.3358114
front-end-55b89655c7-twsmx,60m,115Mi,1701839329.446451
front-end-55b89655c7-twsmx,60m,115Mi,1701839351.739715
front-end-55b89655c7-twsmx,81m,109Mi,1701839374.067144
front-end-55b89655c7-twsmx,67m,111Mi,1701839396.257841
front-end-55b89655c7-twsmx,74m,103Mi,1701839418.171019
front-end-55b89655c7-twsmx,77m,105Mi,1701839440.1714203
front-end-55b89655c7-twsmx,59m,104Mi,1701839462.1526372
front-end-55b89655c7-twsmx,84m,106Mi,1701839484.2133996
front-end-55b89655c7-twsmx,75m,105Mi,1701839506.099012
front-end-55b89655c7-twsmx,79m,105Mi,1701839528.1310475
front-end-55b89655c7-twsmx,69m,104Mi,1701839550.0250149
front-end-55b89655c7-twsmx,73m,105Mi,1701839572.0976985
front-end-55b89655c7-twsmx,73m,105Mi,1701839594.015692
front-end-55b89655c7-twsmx,77m,104Mi,1701839616.0021183
front-end-55b89655c7-twsmx,69m,107Mi,1701839637.8242528
front-end-55b89655c7-twsmx,56m,106Mi,1701839659.7473466
front-end-55b89655c7-twsmx,60m,104Mi,1701839681.6592317
front-end-55b89655c7-twsmx,70m,100Mi,1701839703.610219
front-end-55b89655c7-twsmx,63m,101Mi,1701839725.4870083
front-end-55b89655c7-twsmx,93m,105Mi,1701839747.4855068
front-end-55b89655c7-twsmx,67m,102Mi,1701839769.3268163
front-end-55b89655c7-twsmx,59m,108Mi,1701839791.3735068
front-end-55b89655c7-twsmx,64m,105Mi,1701839813.220064
front-end-55b89655c7-twsmx,60m,107Mi,1701839835.245333
front-end-55b89655c7-twsmx,71m,106Mi,1701839857.1481235
front-end-55b89655c7-twsmx,60m,106Mi,1701839879.1039324
front-end-55b89655c7-twsmx,60m,107Mi,1701839901.1165419
front-end-55b89655c7-twsmx,69m,108Mi,1701839923.0749874
front-end-55b89655c7-twsmx,63m,106Mi,1701839944.9471025
front-end-55b89655c7-twsmx,58m,106Mi,1701839966.9579406
