POD,CPU,MEMORY,TIME
front-end-55b89655c7-wz27n,2m,98Mi,1701833260.2937543
front-end-55b89655c7-wz27n,1m,98Mi,1701833281.2983904
front-end-55b89655c7-wz27n,2m,98Mi,1701833302.2240934
front-end-55b89655c7-wz27n,12m,101Mi,1701833323.178842
front-end-55b89655c7-wz27n,54m,99Mi,1701833344.3559134
front-end-55b89655c7-wz27n,94m,125Mi,1701833365.198943
front-end-55b89655c7-wz27n,76m,125Mi,1701833386.3930516
front-end-55b89655c7-wz27n,66m,126Mi,1701833407.4792323
front-end-55b89655c7-wz27n,51m,124Mi,1701833428.6478345
front-end-55b89655c7-wz27n,77m,123Mi,1701833449.834433
front-end-55b89655c7-wz27n,67m,125Mi,1701833471.1226263
front-end-55b89655c7-wz27n,85m,123Mi,1701833492.2177649
front-end-55b89655c7-wz27n,84m,123Mi,1701833513.391208
front-end-55b89655c7-wz27n,94m,121Mi,1701833534.5048587
front-end-55b89655c7-wz27n,89m,126Mi,1701833555.7639837
front-end-55b89655c7-wz27n,81m,125Mi,1701833577.1157203
front-end-55b89655c7-wz27n,65m,125Mi,1701833598.6821601
front-end-55b89655c7-wz27n,69m,125Mi,1701833620.0571997
front-end-55b89655c7-wz27n,63m,128Mi,1701833641.5095623
front-end-55b89655c7-wz27n,58m,126Mi,1701833662.8483257
front-end-55b89655c7-wz27n,48m,126Mi,1701833684.395693
front-end-55b89655c7-wz27n,59m,122Mi,1701833705.687589
front-end-55b89655c7-wz27n,57m,122Mi,1701833727.1022258
front-end-55b89655c7-wz27n,54m,124Mi,1701833748.465452
front-end-55b89655c7-wz27n,54m,124Mi,1701833769.8776855
front-end-55b89655c7-wz27n,54m,124Mi,1701833791.2908645
front-end-55b89655c7-wz27n,61m,124Mi,1701833812.6868193
front-end-55b89655c7-wz27n,61m,124Mi,1701833834.0181673
front-end-55b89655c7-wz27n,65m,125Mi,1701833855.5070302
front-end-55b89655c7-wz27n,87m,122Mi,1701833876.8543131
front-end-55b89655c7-wz27n,84m,124Mi,1701833898.4585986
front-end-55b89655c7-wz27n,84m,124Mi,1701833919.8037338
front-end-55b89655c7-wz27n,76m,122Mi,1701833941.3308542
front-end-55b89655c7-wz27n,59m,123Mi,1701833962.8757176
front-end-55b89655c7-wz27n,53m,124Mi,1701833984.5518494
front-end-55b89655c7-wz27n,59m,126Mi,1701834006.2374618
front-end-55b89655c7-wz27n,51m,125Mi,1701834027.951255
front-end-55b89655c7-wz27n,71m,126Mi,1701834049.5646324
front-end-55b89655c7-wz27n,82m,125Mi,1701834071.3056352
front-end-55b89655c7-wz27n,67m,124Mi,1701834092.9346223
front-end-55b89655c7-wz27n,62m,125Mi,1701834114.7219586
