POD,CPU,MEMORY,TIME
front-end-55b89655c7-xnqwv,29m,64Mi,1701837950.1118445
front-end-55b89655c7-xnqwv,80m,80Mi,1701837972.0018566
front-end-55b89655c7-xnqwv,74m,98Mi,1701837993.971572
front-end-55b89655c7-xnqwv,74m,98Mi,1701838015.884312
front-end-55b89655c7-xnqwv,65m,98Mi,1701838037.9867327
front-end-55b89655c7-xnqwv,75m,102Mi,1701838059.8831942
front-end-55b89655c7-xnqwv,75m,99Mi,1701838081.904972
front-end-55b89655c7-xnqwv,87m,101Mi,1701838103.8485012
front-end-55b89655c7-xnqwv,91m,101Mi,1701838125.9000506
front-end-55b89655c7-xnqwv,71m,99Mi,1701838147.8548572
front-end-55b89655c7-xnqwv,81m,100Mi,1701838169.765217
front-end-55b89655c7-xnqwv,63m,100Mi,1701838191.5706549
front-end-55b89655c7-xnqwv,63m,99Mi,1701838213.4884953
front-end-55b89655c7-xnqwv,68m,100Mi,1701838235.3557308
front-end-55b89655c7-xnqwv,63m,101Mi,1701838257.3951468
front-end-55b89655c7-xnqwv,75m,102Mi,1701838279.2598603
front-end-55b89655c7-xnqwv,69m,99Mi,1701838301.230157
front-end-55b89655c7-xnqwv,68m,100Mi,1701838323.1744688
front-end-55b89655c7-xnqwv,77m,100Mi,1701838345.1338654
front-end-55b89655c7-xnqwv,57m,100Mi,1701838367.0697398
front-end-55b89655c7-xnqwv,52m,99Mi,1701838389.0002525
front-end-55b89655c7-xnqwv,74m,94Mi,1701838410.9319563
