POD,CPU,MEMORY,TIME
carts-db-64ff6c747f-sz2tp,5m,109Mi,1701796580.959741
carts-db-64ff6c747f-sz2tp,5m,109Mi,1701796601.8434427
carts-db-64ff6c747f-sz2tp,5m,109Mi,1701796622.7329469
carts-db-64ff6c747f-sz2tp,5m,109Mi,1701796643.671792
carts-db-64ff6c747f-sz2tp,5m,109Mi,1701796664.848261
carts-db-64ff6c747f-sz2tp,5m,109Mi,1701796686.0260956
carts-db-64ff6c747f-sz2tp,5m,109Mi,1701796707.22199
carts-db-64ff6c747f-sz2tp,6m,109Mi,1701796728.2898777
carts-db-64ff6c747f-sz2tp,5m,109Mi,1701796749.5269995
carts-db-64ff6c747f-sz2tp,5m,109Mi,1701796770.7907708
carts-db-64ff6c747f-sz2tp,5m,109Mi,1701796792.3176973
carts-db-64ff6c747f-sz2tp,5m,109Mi,1701796813.622999
carts-db-64ff6c747f-sz2tp,5m,109Mi,1701796835.011448
carts-db-64ff6c747f-sz2tp,5m,109Mi,1701796856.3466032
carts-db-64ff6c747f-sz2tp,5m,109Mi,1701796877.7661264
carts-db-64ff6c747f-sz2tp,5m,109Mi,1701796899.1772447
carts-db-64ff6c747f-sz2tp,5m,109Mi,1701796920.5882356
carts-db-64ff6c747f-sz2tp,5m,109Mi,1701796941.9293842
carts-db-64ff6c747f-sz2tp,5m,109Mi,1701796963.379876
carts-db-64ff6c747f-sz2tp,5m,109Mi,1701796984.6872885
carts-db-64ff6c747f-sz2tp,5m,109Mi,1701797006.1864748
carts-db-64ff6c747f-sz2tp,5m,109Mi,1701797027.49823
carts-db-64ff6c747f-sz2tp,5m,109Mi,1701797048.8875797
carts-db-64ff6c747f-sz2tp,5m,109Mi,1701797070.2129693
carts-db-64ff6c747f-sz2tp,5m,109Mi,1701797091.6235924
carts-db-64ff6c747f-sz2tp,5m,109Mi,1701797113.027646
carts-db-64ff6c747f-sz2tp,5m,109Mi,1701797134.4299815
carts-db-64ff6c747f-sz2tp,5m,109Mi,1701797155.7747095
carts-db-64ff6c747f-sz2tp,5m,109Mi,1701797177.1900704
carts-db-64ff6c747f-sz2tp,5m,109Mi,1701797198.5380204
carts-db-64ff6c747f-sz2tp,5m,109Mi,1701797220.0734513
carts-db-64ff6c747f-sz2tp,5m,109Mi,1701797241.4915853
carts-db-64ff6c747f-sz2tp,5m,109Mi,1701797263.142808
carts-db-64ff6c747f-sz2tp,5m,109Mi,1701797284.7352228
carts-db-64ff6c747f-sz2tp,5m,109Mi,1701797306.3952599
carts-db-64ff6c747f-sz2tp,5m,109Mi,1701797328.0401874
carts-db-64ff6c747f-sz2tp,5m,109Mi,1701797349.7280028
