POD,CPU,MEMORY,TIME
catalogue-db-69cf48ff8-fgd7t,1m,240Mi,1701796580.959741
catalogue-db-69cf48ff8-fgd7t,1m,240Mi,1701796601.8434427
catalogue-db-69cf48ff8-fgd7t,1m,240Mi,1701796622.7329469
catalogue-db-69cf48ff8-fgd7t,1m,240Mi,1701796643.671792
catalogue-db-69cf48ff8-fgd7t,1m,240Mi,1701796664.848261
catalogue-db-69cf48ff8-fgd7t,1m,240Mi,1701796686.0260956
catalogue-db-69cf48ff8-fgd7t,1m,240Mi,1701796707.22199
catalogue-db-69cf48ff8-fgd7t,1m,240Mi,1701796728.2898777
catalogue-db-69cf48ff8-fgd7t,1m,240Mi,1701796749.5269995
catalogue-db-69cf48ff8-fgd7t,1m,240Mi,1701796770.7907708
catalogue-db-69cf48ff8-fgd7t,1m,240Mi,1701796792.3176973
catalogue-db-69cf48ff8-fgd7t,1m,240Mi,1701796813.622999
catalogue-db-69cf48ff8-fgd7t,1m,240Mi,1701796835.011448
catalogue-db-69cf48ff8-fgd7t,1m,240Mi,1701796856.3466032
catalogue-db-69cf48ff8-fgd7t,1m,240Mi,1701796877.7661264
catalogue-db-69cf48ff8-fgd7t,1m,240Mi,1701796899.1772447
catalogue-db-69cf48ff8-fgd7t,1m,240Mi,1701796920.5882356
catalogue-db-69cf48ff8-fgd7t,1m,240Mi,1701796941.9293842
catalogue-db-69cf48ff8-fgd7t,1m,240Mi,1701796963.379876
catalogue-db-69cf48ff8-fgd7t,1m,240Mi,1701796984.6872885
catalogue-db-69cf48ff8-fgd7t,1m,240Mi,1701797006.1864748
catalogue-db-69cf48ff8-fgd7t,1m,240Mi,1701797027.49823
catalogue-db-69cf48ff8-fgd7t,1m,240Mi,1701797048.8875797
catalogue-db-69cf48ff8-fgd7t,1m,240Mi,1701797070.2129693
catalogue-db-69cf48ff8-fgd7t,1m,240Mi,1701797091.6235924
catalogue-db-69cf48ff8-fgd7t,1m,240Mi,1701797113.027646
catalogue-db-69cf48ff8-fgd7t,1m,240Mi,1701797134.4299815
catalogue-db-69cf48ff8-fgd7t,1m,240Mi,1701797155.7747095
catalogue-db-69cf48ff8-fgd7t,1m,240Mi,1701797177.1900704
catalogue-db-69cf48ff8-fgd7t,1m,240Mi,1701797198.5380204
catalogue-db-69cf48ff8-fgd7t,1m,240Mi,1701797220.0734513
catalogue-db-69cf48ff8-fgd7t,1m,240Mi,1701797241.4915853
catalogue-db-69cf48ff8-fgd7t,1m,240Mi,1701797263.142808
catalogue-db-69cf48ff8-fgd7t,1m,240Mi,1701797284.7352228
catalogue-db-69cf48ff8-fgd7t,1m,240Mi,1701797306.3952599
catalogue-db-69cf48ff8-fgd7t,1m,240Mi,1701797328.0401874
catalogue-db-69cf48ff8-fgd7t,1m,240Mi,1701797349.7280028
catalogue-db-69cf48ff8-fgd7t,1m,240Mi,1701797371.3749464
catalogue-db-69cf48ff8-fgd7t,1m,240Mi,1701797393.1402123
catalogue-db-69cf48ff8-fgd7t,1m,240Mi,1701797414.763633
catalogue-db-69cf48ff8-fgd7t,1m,240Mi,1701797436.5776486
catalogue-db-69cf48ff8-fgd7t,1m,240Mi,1701797458.1853404
catalogue-db-69cf48ff8-fgd7t,1m,240Mi,1701797479.9478302
catalogue-db-69cf48ff8-fgd7t,1m,240Mi,1701797501.7019856
catalogue-db-69cf48ff8-fgd7t,1m,240Mi,1701797523.5630546
catalogue-db-69cf48ff8-fgd7t,1m,240Mi,1701797545.4768384
catalogue-db-69cf48ff8-fgd7t,1m,240Mi,1701797567.3861213
catalogue-db-69cf48ff8-fgd7t,1m,240Mi,1701797589.1816165
catalogue-db-69cf48ff8-fgd7t,1m,240Mi,1701797611.1771865
