POD,CPU,MEMORY,TIME
front-end-55b89655c7-4vk8m,1m,71Mi,1701806163.8367975
front-end-55b89655c7-4vk8m,19m,62Mi,1701806185.7066407
front-end-55b89655c7-4vk8m,65m,79Mi,1701806207.6972797
front-end-55b89655c7-4vk8m,76m,98Mi,1701806229.5544944
front-end-55b89655c7-4vk8m,61m,101Mi,1701806251.555745
front-end-55b89655c7-4vk8m,70m,100Mi,1701806273.4740806
front-end-55b89655c7-4vk8m,57m,102Mi,1701806295.4319808
front-end-55b89655c7-4vk8m,53m,101Mi,1701806317.2984946
front-end-55b89655c7-4vk8m,52m,103Mi,1701806339.24864
front-end-55b89655c7-4vk8m,52m,99Mi,1701806361.0885785
front-end-55b89655c7-4vk8m,45m,101Mi,1701806383.1533232
