POD,CPU,MEMORY,TIME
front-end-55b89655c7-77m64,52m,67Mi,1701796770.7907708
front-end-55b89655c7-77m64,7m,69Mi,1701796792.3176973
front-end-55b89655c7-77m64,48m,64Mi,1701796813.622999
front-end-55b89655c7-77m64,52m,73Mi,1701796835.011448
front-end-55b89655c7-77m64,58m,74Mi,1701796856.3466032
front-end-55b89655c7-77m64,81m,93Mi,1701796877.7661264
front-end-55b89655c7-77m64,81m,93Mi,1701796899.1772447
front-end-55b89655c7-77m64,61m,96Mi,1701796920.5882356
front-end-55b89655c7-77m64,47m,96Mi,1701796941.9293842
front-end-55b89655c7-77m64,67m,95Mi,1701796963.379876
front-end-55b89655c7-77m64,60m,96Mi,1701796984.6872885
front-end-55b89655c7-77m64,60m,96Mi,1701797006.1864748
front-end-55b89655c7-77m64,67m,97Mi,1701797027.49823
front-end-55b89655c7-77m64,54m,95Mi,1701797048.8875797
front-end-55b89655c7-77m64,54m,93Mi,1701797070.2129693
front-end-55b89655c7-77m64,57m,90Mi,1701797091.6235924
front-end-55b89655c7-77m64,56m,93Mi,1701797113.027646
front-end-55b89655c7-77m64,56m,92Mi,1701797134.4299815
front-end-55b89655c7-77m64,48m,91Mi,1701797155.7747095
front-end-55b89655c7-77m64,65m,93Mi,1701797177.1900704
front-end-55b89655c7-77m64,75m,94Mi,1701797198.5380204
front-end-55b89655c7-77m64,75m,94Mi,1701797220.0734513
front-end-55b89655c7-77m64,91m,97Mi,1701797241.4915853
front-end-55b89655c7-77m64,84m,97Mi,1701797263.142808
front-end-55b89655c7-77m64,51m,96Mi,1701797284.7352228
front-end-55b89655c7-77m64,42m,97Mi,1701797306.3952599
front-end-55b89655c7-77m64,44m,98Mi,1701797328.0401874
front-end-55b89655c7-77m64,44m,98Mi,1701797349.7280028
front-end-55b89655c7-77m64,61m,92Mi,1701797371.3749464
front-end-55b89655c7-77m64,69m,91Mi,1701797393.1402123
front-end-55b89655c7-77m64,87m,95Mi,1701797414.763633
front-end-55b89655c7-77m64,60m,96Mi,1701797436.5776486
front-end-55b89655c7-77m64,62m,97Mi,1701797458.1853404
front-end-55b89655c7-77m64,51m,100Mi,1701797479.9478302
front-end-55b89655c7-77m64,48m,96Mi,1701797501.7019856
front-end-55b89655c7-77m64,54m,99Mi,1701797523.5630546
front-end-55b89655c7-77m64,52m,99Mi,1701797545.4768384
front-end-55b89655c7-77m64,81m,91Mi,1701797567.3861213
front-end-55b89655c7-77m64,70m,94Mi,1701797589.1816165
front-end-55b89655c7-77m64,57m,98Mi,1701797611.1771865
front-end-55b89655c7-77m64,58m,98Mi,1701797632.8123858
front-end-55b89655c7-77m64,64m,99Mi,1701797654.6461256
front-end-55b89655c7-77m64,71m,99Mi,1701797676.2532468
front-end-55b89655c7-77m64,74m,99Mi,1701797697.976782
front-end-55b89655c7-77m64,64m,100Mi,1701797719.6425083
front-end-55b89655c7-77m64,64m,100Mi,1701797741.3817992
front-end-55b89655c7-77m64,88m,99Mi,1701797763.148039
front-end-55b89655c7-77m64,84m,97Mi,1701797784.896643
front-end-55b89655c7-77m64,90m,99Mi,1701797806.6271927
front-end-55b89655c7-77m64,86m,100Mi,1701797828.5828655
front-end-55b89655c7-77m64,68m,100Mi,1701797850.4008482
front-end-55b89655c7-77m64,66m,100Mi,1701797872.46077
front-end-55b89655c7-77m64,52m,99Mi,1701797894.2963598
front-end-55b89655c7-77m64,59m,100Mi,1701797916.2653759
front-end-55b89655c7-77m64,40m,96Mi,1701797938.2012255
front-end-55b89655c7-77m64,72m,97Mi,1701797959.9452395
front-end-55b89655c7-77m64,89m,100Mi,1701797981.6135566
front-end-55b89655c7-77m64,66m,99Mi,1701798003.32511
front-end-55b89655c7-77m64,73m,98Mi,1701798024.9526627
front-end-55b89655c7-77m64,88m,99Mi,1701798046.6941624
front-end-55b89655c7-77m64,77m,95Mi,1701798068.2995849
front-end-55b89655c7-77m64,66m,97Mi,1701798090.0766568
front-end-55b89655c7-77m64,60m,99Mi,1701798111.627324
front-end-55b89655c7-77m64,62m,98Mi,1701798133.3841667
front-end-55b89655c7-77m64,76m,99Mi,1701798155.1808302
front-end-55b89655c7-77m64,60m,99Mi,1701798177.1429336
front-end-55b89655c7-77m64,68m,96Mi,1701798199.0851867
front-end-55b89655c7-77m64,75m,97Mi,1701798221.0913
front-end-55b89655c7-77m64,78m,98Mi,1701798243.0039768
front-end-55b89655c7-77m64,72m,96Mi,1701798265.0299177
front-end-55b89655c7-77m64,73m,98Mi,1701798286.919417
front-end-55b89655c7-77m64,71m,99Mi,1701798309.102002
front-end-55b89655c7-77m64,78m,99Mi,1701798331.2300148
front-end-55b89655c7-77m64,49m,98Mi,1701798353.430366
front-end-55b89655c7-77m64,53m,97Mi,1701798375.5857258
front-end-55b89655c7-77m64,52m,97Mi,1701798397.8127394
front-end-55b89655c7-77m64,43m,97Mi,1701798420.0415978
front-end-55b89655c7-77m64,51m,98Mi,1701798442.3981104
front-end-55b89655c7-77m64,71m,99Mi,1701798464.3832452
front-end-55b89655c7-77m64,94m,100Mi,1701798486.4337864
front-end-55b89655c7-77m64,76m,96Mi,1701798508.3931153
front-end-55b89655c7-77m64,79m,101Mi,1701798530.4234302
front-end-55b89655c7-77m64,73m,100Mi,1701798552.2042613
