POD,CPU,MEMORY,TIME
front-end-55b89655c7-7mbn5,6m,72Mi,1701828421.3667424
front-end-55b89655c7-7mbn5,35m,69Mi,1701828443.3939831
front-end-55b89655c7-7mbn5,35m,69Mi,1701828465.2856166
front-end-55b89655c7-7mbn5,66m,97Mi,1701828487.3860726
front-end-55b89655c7-7mbn5,78m,100Mi,1701828509.3318517
front-end-55b89655c7-7mbn5,65m,101Mi,1701828531.3799605
front-end-55b89655c7-7mbn5,75m,97Mi,1701828553.270607
front-end-55b89655c7-7mbn5,76m,101Mi,1701828575.2653491
front-end-55b89655c7-7mbn5,72m,102Mi,1701828597.2450697
front-end-55b89655c7-7mbn5,82m,99Mi,1701828619.1592371
front-end-55b89655c7-7mbn5,73m,102Mi,1701828640.9923463
front-end-55b89655c7-7mbn5,75m,100Mi,1701828662.9302807
front-end-55b89655c7-7mbn5,82m,101Mi,1701828684.7736797
front-end-55b89655c7-7mbn5,88m,100Mi,1701828706.8464441
front-end-55b89655c7-7mbn5,69m,100Mi,1701828728.712489
front-end-55b89655c7-7mbn5,75m,100Mi,1701828750.694306
front-end-55b89655c7-7mbn5,76m,102Mi,1701828772.6899354
front-end-55b89655c7-7mbn5,74m,102Mi,1701828794.904001
front-end-55b89655c7-7mbn5,80m,100Mi,1701828817.1524827
front-end-55b89655c7-7mbn5,74m,103Mi,1701828839.405992
front-end-55b89655c7-7mbn5,62m,100Mi,1701828861.5557535
front-end-55b89655c7-7mbn5,61m,101Mi,1701828883.8867514
front-end-55b89655c7-7mbn5,47m,102Mi,1701828906.0619147
front-end-55b89655c7-7mbn5,55m,99Mi,1701828928.407777
front-end-55b89655c7-7mbn5,51m,101Mi,1701828950.348092
front-end-55b89655c7-7mbn5,60m,102Mi,1701828972.3779926
front-end-55b89655c7-7mbn5,66m,95Mi,1701828994.253914
front-end-55b89655c7-7mbn5,61m,96Mi,1701829016.2463136
front-end-55b89655c7-7mbn5,65m,99Mi,1701829038.1609287
front-end-55b89655c7-7mbn5,59m,100Mi,1701829060.047139
front-end-55b89655c7-7mbn5,49m,99Mi,1701829081.8818545
front-end-55b89655c7-7mbn5,52m,100Mi,1701829103.873706
