POD,CPU,MEMORY,TIME
front-end-55b89655c7-7shp4,1m,70Mi,1701831396.8889797
front-end-55b89655c7-7shp4,62m,80Mi,1701831418.9133928
front-end-55b89655c7-7shp4,65m,104Mi,1701831440.9054632
front-end-55b89655c7-7shp4,86m,107Mi,1701831462.8109744
front-end-55b89655c7-7shp4,62m,114Mi,1701831484.8160906
front-end-55b89655c7-7shp4,62m,114Mi,1701831506.741747
front-end-55b89655c7-7shp4,76m,121Mi,1701831528.8566806
front-end-55b89655c7-7shp4,74m,120Mi,1701831550.8185265
front-end-55b89655c7-7shp4,67m,103Mi,1701831572.8093278
front-end-55b89655c7-7shp4,90m,107Mi,1701831594.6901295
front-end-55b89655c7-7shp4,79m,107Mi,1701831616.595501
front-end-55b89655c7-7shp4,74m,105Mi,1701831638.495705
front-end-55b89655c7-7shp4,85m,105Mi,1701831660.4030972
front-end-55b89655c7-7shp4,58m,108Mi,1701831682.2542043
front-end-55b89655c7-7shp4,50m,108Mi,1701831704.1746745
front-end-55b89655c7-7shp4,59m,106Mi,1701831726.0428302
front-end-55b89655c7-7shp4,56m,105Mi,1701831748.174025
