POD,CPU,MEMORY,TIME
front-end-55b89655c7-9hc6m,50m,70Mi,1701826080.519143
front-end-55b89655c7-9hc6m,31m,66Mi,1701826102.5329945
front-end-55b89655c7-9hc6m,67m,77Mi,1701826124.434838
front-end-55b89655c7-9hc6m,78m,96Mi,1701826146.4840999
front-end-55b89655c7-9hc6m,54m,97Mi,1701826168.5128264
front-end-55b89655c7-9hc6m,80m,99Mi,1701826190.5259001
front-end-55b89655c7-9hc6m,72m,99Mi,1701826212.4693868
front-end-55b89655c7-9hc6m,77m,101Mi,1701826234.5563095
front-end-55b89655c7-9hc6m,79m,102Mi,1701826256.516386
front-end-55b89655c7-9hc6m,81m,102Mi,1701826278.760484
front-end-55b89655c7-9hc6m,82m,104Mi,1701826300.7757783
front-end-55b89655c7-9hc6m,80m,101Mi,1701826322.828794
front-end-55b89655c7-9hc6m,69m,102Mi,1701826344.798878
front-end-55b89655c7-9hc6m,83m,103Mi,1701826366.8571966
front-end-55b89655c7-9hc6m,90m,101Mi,1701826388.9634728
front-end-55b89655c7-9hc6m,85m,103Mi,1701826411.0995877
front-end-55b89655c7-9hc6m,80m,100Mi,1701826433.0847278
front-end-55b89655c7-9hc6m,75m,103Mi,1701826455.155013
front-end-55b89655c7-9hc6m,67m,101Mi,1701826477.0740216
front-end-55b89655c7-9hc6m,68m,100Mi,1701826499.1988144
front-end-55b89655c7-9hc6m,51m,100Mi,1701826521.0630937
front-end-55b89655c7-9hc6m,50m,101Mi,1701826543.1083415
front-end-55b89655c7-9hc6m,70m,97Mi,1701826565.0197039
front-end-55b89655c7-9hc6m,56m,94Mi,1701826587.0282216
front-end-55b89655c7-9hc6m,85m,100Mi,1701826609.0756695
front-end-55b89655c7-9hc6m,75m,100Mi,1701826631.1475208
front-end-55b89655c7-9hc6m,79m,100Mi,1701826653.137367
front-end-55b89655c7-9hc6m,62m,101Mi,1701826675.3024855
front-end-55b89655c7-9hc6m,78m,102Mi,1701826697.3245947
front-end-55b89655c7-9hc6m,62m,100Mi,1701826719.5897748
front-end-55b89655c7-9hc6m,77m,101Mi,1701826741.5600245
front-end-55b89655c7-9hc6m,85m,102Mi,1701826763.5885878
front-end-55b89655c7-9hc6m,71m,99Mi,1701826785.7328577
front-end-55b89655c7-9hc6m,85m,100Mi,1701826807.8525012
front-end-55b89655c7-9hc6m,57m,102Mi,1701826829.9115343
front-end-55b89655c7-9hc6m,58m,99Mi,1701826852.0569193
front-end-55b89655c7-9hc6m,91m,103Mi,1701826874.0896416
front-end-55b89655c7-9hc6m,70m,97Mi,1701826896.2001634
front-end-55b89655c7-9hc6m,80m,96Mi,1701826918.1499712
front-end-55b89655c7-9hc6m,59m,100Mi,1701826940.2297945
front-end-55b89655c7-9hc6m,58m,98Mi,1701826962.1486201
front-end-55b89655c7-9hc6m,77m,102Mi,1701826984.1589503
front-end-55b89655c7-9hc6m,72m,101Mi,1701827006.0975451
front-end-55b89655c7-9hc6m,79m,99Mi,1701827028.148653
front-end-55b89655c7-9hc6m,74m,97Mi,1701827050.280186
front-end-55b89655c7-9hc6m,64m,101Mi,1701827072.2822824
front-end-55b89655c7-9hc6m,64m,101Mi,1701827095.7672868
front-end-55b89655c7-9hc6m,58m,95Mi,1701827118.3460853
