POD,CPU,MEMORY,TIME
front-end-55b89655c7-9rd79,1m,65Mi,1701822126.3879874
front-end-55b89655c7-9rd79,2m,66Mi,1701822148.0094225
front-end-55b89655c7-9rd79,64m,74Mi,1701822169.7641494
front-end-55b89655c7-9rd79,69m,70Mi,1701822191.4132974
front-end-55b89655c7-9rd79,69m,91Mi,1701822213.1827679
front-end-55b89655c7-9rd79,63m,93Mi,1701822234.8948557
front-end-55b89655c7-9rd79,49m,94Mi,1701822256.5903118
front-end-55b89655c7-9rd79,43m,95Mi,1701822278.1877315
front-end-55b89655c7-9rd79,52m,94Mi,1701822299.8930502
front-end-55b89655c7-9rd79,44m,93Mi,1701822321.4776525
front-end-55b89655c7-9rd79,70m,94Mi,1701822343.2603264
front-end-55b89655c7-9rd79,64m,95Mi,1701822364.8325555
front-end-55b89655c7-9rd79,72m,95Mi,1701822386.5474951
front-end-55b89655c7-9rd79,68m,96Mi,1701822408.146886
front-end-55b89655c7-9rd79,66m,96Mi,1701822429.8806171
front-end-55b89655c7-9rd79,78m,94Mi,1701822451.576751
front-end-55b89655c7-9rd79,74m,95Mi,1701822473.2668376
front-end-55b89655c7-9rd79,68m,96Mi,1701822494.9021993
front-end-55b89655c7-9rd79,63m,93Mi,1701822516.609269
front-end-55b89655c7-9rd79,63m,93Mi,1701822538.3141577
front-end-55b89655c7-9rd79,86m,96Mi,1701822560.3762345
front-end-55b89655c7-9rd79,75m,96Mi,1701822582.2788618
front-end-55b89655c7-9rd79,70m,95Mi,1701822604.366271
front-end-55b89655c7-9rd79,74m,95Mi,1701822626.2777264
front-end-55b89655c7-9rd79,55m,97Mi,1701822648.311139
front-end-55b89655c7-9rd79,70m,97Mi,1701822670.266595
front-end-55b89655c7-9rd79,39m,95Mi,1701822692.2371542
front-end-55b89655c7-9rd79,57m,96Mi,1701822714.1817057
front-end-55b89655c7-9rd79,66m,91Mi,1701822735.9831007
front-end-55b89655c7-9rd79,64m,92Mi,1701822757.5890245
front-end-55b89655c7-9rd79,66m,94Mi,1701822779.4055886
front-end-55b89655c7-9rd79,67m,95Mi,1701822801.0361128
front-end-55b89655c7-9rd79,77m,95Mi,1701822822.8129692
front-end-55b89655c7-9rd79,80m,95Mi,1701822844.4570565
front-end-55b89655c7-9rd79,85m,96Mi,1701822866.2317483
front-end-55b89655c7-9rd79,78m,96Mi,1701822888.0939863
front-end-55b89655c7-9rd79,56m,95Mi,1701822910.0195487
front-end-55b89655c7-9rd79,56m,95Mi,1701822931.816794
front-end-55b89655c7-9rd79,60m,95Mi,1701822953.7187243
front-end-55b89655c7-9rd79,48m,95Mi,1701822975.5902202
front-end-55b89655c7-9rd79,53m,96Mi,1701822997.7698634
front-end-55b89655c7-9rd79,73m,90Mi,1701823019.474919
front-end-55b89655c7-9rd79,88m,96Mi,1701823041.2115126
front-end-55b89655c7-9rd79,74m,96Mi,1701823063.0870483
front-end-55b89655c7-9rd79,80m,94Mi,1701823084.8641422
front-end-55b89655c7-9rd79,88m,93Mi,1701823106.603627
front-end-55b89655c7-9rd79,69m,96Mi,1701823128.4545357
front-end-55b89655c7-9rd79,84m,97Mi,1701823150.2996485
front-end-55b89655c7-9rd79,52m,96Mi,1701823172.2430565
front-end-55b89655c7-9rd79,70m,95Mi,1701823194.1221747
front-end-55b89655c7-9rd79,62m,97Mi,1701823216.2659156
front-end-55b89655c7-9rd79,69m,96Mi,1701823238.192946
front-end-55b89655c7-9rd79,93m,96Mi,1701823260.2163284
front-end-55b89655c7-9rd79,77m,98Mi,1701823282.1773067
front-end-55b89655c7-9rd79,77m,98Mi,1701823304.3159826
front-end-55b89655c7-9rd79,92m,96Mi,1701823326.592145
