POD,CPU,MEMORY,TIME
front-end-55b89655c7-f6khh,55m,65Mi,1701803868.5158792
front-end-55b89655c7-f6khh,1m,65Mi,1701803890.8499532
front-end-55b89655c7-f6khh,63m,71Mi,1701803913.18572
front-end-55b89655c7-f6khh,86m,70Mi,1701803935.3416214
front-end-55b89655c7-f6khh,62m,89Mi,1701803957.6012306
front-end-55b89655c7-f6khh,62m,89Mi,1701803979.7929718
front-end-55b89655c7-f6khh,68m,94Mi,1701804002.1742034
front-end-55b89655c7-f6khh,67m,92Mi,1701804024.4052737
front-end-55b89655c7-f6khh,55m,94Mi,1701804046.6489594
front-end-55b89655c7-f6khh,68m,95Mi,1701804068.7701514
