POD,CPU,MEMORY,TIME
front-end-55b89655c7-fr6nc,2m,65Mi,1701821569.1555557
front-end-55b89655c7-fr6nc,57m,67Mi,1701821590.5516815
front-end-55b89655c7-fr6nc,43m,70Mi,1701821612.0774999
front-end-55b89655c7-fr6nc,50m,82Mi,1701821633.4033165
front-end-55b89655c7-fr6nc,50m,82Mi,1701821654.8718092
front-end-55b89655c7-fr6nc,63m,95Mi,1701821676.2001367
front-end-55b89655c7-fr6nc,63m,95Mi,1701821697.7299304
front-end-55b89655c7-fr6nc,49m,95Mi,1701821719.1862264
front-end-55b89655c7-fr6nc,61m,88Mi,1701821740.6661484
front-end-55b89655c7-fr6nc,72m,93Mi,1701821761.998077
front-end-55b89655c7-fr6nc,69m,96Mi,1701821783.4225183
front-end-55b89655c7-fr6nc,59m,93Mi,1701821804.8528388
front-end-55b89655c7-fr6nc,65m,97Mi,1701821826.2896426
front-end-55b89655c7-fr6nc,64m,97Mi,1701821847.6153102
front-end-55b89655c7-fr6nc,51m,93Mi,1701821869.0700457
front-end-55b89655c7-fr6nc,61m,94Mi,1701821890.4072316
front-end-55b89655c7-fr6nc,60m,88Mi,1701821911.9457698
front-end-55b89655c7-fr6nc,60m,88Mi,1701821933.2580326
front-end-55b89655c7-fr6nc,61m,95Mi,1701821954.6969237
front-end-55b89655c7-fr6nc,58m,94Mi,1701821976.047183
front-end-55b89655c7-fr6nc,58m,94Mi,1701821997.516529
front-end-55b89655c7-fr6nc,97m,91Mi,1701822018.966811
front-end-55b89655c7-fr6nc,73m,94Mi,1701822040.4020586
front-end-55b89655c7-fr6nc,75m,94Mi,1701822061.7617393
front-end-55b89655c7-fr6nc,71m,95Mi,1701822083.2158308
front-end-55b89655c7-fr6nc,62m,96Mi,1701822104.65671
front-end-55b89655c7-fr6nc,76m,96Mi,1701822126.3879874
front-end-55b89655c7-fr6nc,94m,95Mi,1701822148.0094225
front-end-55b89655c7-fr6nc,55m,95Mi,1701822169.7641494
front-end-55b89655c7-fr6nc,68m,97Mi,1701822191.4132974
front-end-55b89655c7-fr6nc,70m,95Mi,1701822213.1827679
front-end-55b89655c7-fr6nc,66m,96Mi,1701822234.8948557
front-end-55b89655c7-fr6nc,49m,92Mi,1701822256.5903118
front-end-55b89655c7-fr6nc,49m,93Mi,1701822278.1877315
front-end-55b89655c7-fr6nc,46m,94Mi,1701822299.8930502
front-end-55b89655c7-fr6nc,50m,95Mi,1701822321.4776525
front-end-55b89655c7-fr6nc,55m,94Mi,1701822343.2603264
front-end-55b89655c7-fr6nc,76m,94Mi,1701822364.8325555
front-end-55b89655c7-fr6nc,72m,97Mi,1701822386.5474951
front-end-55b89655c7-fr6nc,65m,94Mi,1701822408.146886
front-end-55b89655c7-fr6nc,64m,98Mi,1701822429.8806171
front-end-55b89655c7-fr6nc,82m,94Mi,1701822451.576751
front-end-55b89655c7-fr6nc,62m,97Mi,1701822473.2668376
front-end-55b89655c7-fr6nc,62m,96Mi,1701822494.9021993
front-end-55b89655c7-fr6nc,75m,93Mi,1701822516.609269
front-end-55b89655c7-fr6nc,68m,96Mi,1701822538.3141577
front-end-55b89655c7-fr6nc,101m,96Mi,1701822560.3762345
front-end-55b89655c7-fr6nc,75m,95Mi,1701822582.2788618
front-end-55b89655c7-fr6nc,84m,94Mi,1701822604.366271
front-end-55b89655c7-fr6nc,63m,95Mi,1701822626.2777264
front-end-55b89655c7-fr6nc,62m,92Mi,1701822648.311139
front-end-55b89655c7-fr6nc,58m,92Mi,1701822670.266595
front-end-55b89655c7-fr6nc,53m,93Mi,1701822692.2371542
front-end-55b89655c7-fr6nc,64m,94Mi,1701822714.1817057
front-end-55b89655c7-fr6nc,64m,95Mi,1701822735.9831007
front-end-55b89655c7-fr6nc,67m,94Mi,1701822757.5890245
front-end-55b89655c7-fr6nc,76m,95Mi,1701822779.4055886
front-end-55b89655c7-fr6nc,71m,93Mi,1701822801.0361128
front-end-55b89655c7-fr6nc,71m,95Mi,1701822822.8129692
front-end-55b89655c7-fr6nc,79m,94Mi,1701822844.4570565
front-end-55b89655c7-fr6nc,77m,94Mi,1701822866.2317483
front-end-55b89655c7-fr6nc,86m,92Mi,1701822888.0939863
front-end-55b89655c7-fr6nc,60m,94Mi,1701822910.0195487
front-end-55b89655c7-fr6nc,54m,94Mi,1701822931.816794
front-end-55b89655c7-fr6nc,55m,94Mi,1701822953.7187243
front-end-55b89655c7-fr6nc,68m,90Mi,1701822975.5902202
front-end-55b89655c7-fr6nc,58m,92Mi,1701822997.7698634
front-end-55b89655c7-fr6nc,82m,92Mi,1701823019.474919
front-end-55b89655c7-fr6nc,85m,95Mi,1701823041.2115126
front-end-55b89655c7-fr6nc,81m,95Mi,1701823063.0870483
front-end-55b89655c7-fr6nc,80m,95Mi,1701823084.8641422
front-end-55b89655c7-fr6nc,93m,95Mi,1701823106.603627
front-end-55b89655c7-fr6nc,85m,94Mi,1701823128.4545357
front-end-55b89655c7-fr6nc,85m,96Mi,1701823150.2996485
front-end-55b89655c7-fr6nc,64m,94Mi,1701823172.2430565
front-end-55b89655c7-fr6nc,81m,95Mi,1701823194.1221747
front-end-55b89655c7-fr6nc,61m,92Mi,1701823216.2659156
front-end-55b89655c7-fr6nc,81m,93Mi,1701823238.192946
front-end-55b89655c7-fr6nc,67m,94Mi,1701823260.2163284
front-end-55b89655c7-fr6nc,99m,95Mi,1701823282.1773067
front-end-55b89655c7-fr6nc,73m,93Mi,1701823304.3159826
front-end-55b89655c7-fr6nc,76m,97Mi,1701823326.592145
front-end-55b89655c7-fr6nc,93m,95Mi,1701823348.8764634
front-end-55b89655c7-fr6nc,51m,95Mi,1701823370.9681225
front-end-55b89655c7-fr6nc,73m,97Mi,1701823393.1451964
front-end-55b89655c7-fr6nc,42m,96Mi,1701823415.22336
front-end-55b89655c7-fr6nc,43m,91Mi,1701823437.622251
front-end-55b89655c7-fr6nc,64m,91Mi,1701823459.509357
front-end-55b89655c7-fr6nc,60m,94Mi,1701823481.5188816
front-end-55b89655c7-fr6nc,61m,92Mi,1701823503.389388
front-end-55b89655c7-fr6nc,53m,95Mi,1701823525.3517373
front-end-55b89655c7-fr6nc,49m,95Mi,1701823547.3286974
front-end-55b89655c7-fr6nc,46m,95Mi,1701823569.3884256
front-end-55b89655c7-fr6nc,62m,92Mi,1701823591.1048746
front-end-55b89655c7-fr6nc,76m,94Mi,1701823612.8740351
front-end-55b89655c7-fr6nc,84m,94Mi,1701823634.524435
front-end-55b89655c7-fr6nc,80m,97Mi,1701823656.3459737
front-end-55b89655c7-fr6nc,72m,97Mi,1701823677.9758503
front-end-55b89655c7-fr6nc,69m,96Mi,1701823699.7455654
front-end-55b89655c7-fr6nc,87m,97Mi,1701823721.6466486
front-end-55b89655c7-fr6nc,62m,95Mi,1701823743.6585083
front-end-55b89655c7-fr6nc,70m,97Mi,1701823765.6269822
front-end-55b89655c7-fr6nc,54m,97Mi,1701823787.6318443
front-end-55b89655c7-fr6nc,71m,97Mi,1701823809.5002322
front-end-55b89655c7-fr6nc,66m,92Mi,1701823831.557299
front-end-55b89655c7-fr6nc,91m,93Mi,1701823853.2089305
front-end-55b89655c7-fr6nc,71m,94Mi,1701823874.9766736
front-end-55b89655c7-fr6nc,65m,95Mi,1701823896.570817
front-end-55b89655c7-fr6nc,65m,95Mi,1701823918.2839322
front-end-55b89655c7-fr6nc,62m,93Mi,1701823939.9055827
front-end-55b89655c7-fr6nc,80m,95Mi,1701823961.6293228
front-end-55b89655c7-fr6nc,73m,93Mi,1701823983.3488948
front-end-55b89655c7-fr6nc,80m,93Mi,1701824005.085456
front-end-55b89655c7-fr6nc,73m,95Mi,1701824026.7489364
front-end-55b89655c7-fr6nc,79m,96Mi,1701824048.618573
front-end-55b89655c7-fr6nc,79m,95Mi,1701824070.4360368
front-end-55b89655c7-fr6nc,66m,94Mi,1701824092.5003893
front-end-55b89655c7-fr6nc,67m,95Mi,1701824114.5404596
front-end-55b89655c7-fr6nc,76m,95Mi,1701824136.5869668
front-end-55b89655c7-fr6nc,63m,95Mi,1701824158.486194
front-end-55b89655c7-fr6nc,68m,97Mi,1701824180.4980938
front-end-55b89655c7-fr6nc,88m,94Mi,1701824202.5566328
front-end-55b89655c7-fr6nc,68m,94Mi,1701824224.5881255
front-end-55b89655c7-fr6nc,71m,95Mi,1701824246.5524654
front-end-55b89655c7-fr6nc,71m,97Mi,1701824268.5981994
front-end-55b89655c7-fr6nc,71m,97Mi,1701824290.5188358
front-end-55b89655c7-fr6nc,68m,96Mi,1701824312.6301792
front-end-55b89655c7-fr6nc,71m,96Mi,1701824334.5820606
