POD,CPU,MEMORY,TIME
front-end-55b89655c7-ggqns,1m,65Mi,1701830120.2028818
front-end-55b89655c7-ggqns,2m,66Mi,1701830141.9000754
front-end-55b89655c7-ggqns,64m,75Mi,1701830163.5425947
front-end-55b89655c7-ggqns,65m,75Mi,1701830185.2794943
front-end-55b89655c7-ggqns,58m,91Mi,1701830206.878746
front-end-55b89655c7-ggqns,55m,92Mi,1701830228.6431556
front-end-55b89655c7-ggqns,49m,96Mi,1701830250.2055285
front-end-55b89655c7-ggqns,48m,95Mi,1701830271.912209
front-end-55b89655c7-ggqns,42m,95Mi,1701830293.4783638
front-end-55b89655c7-ggqns,49m,94Mi,1701830315.132769
front-end-55b89655c7-ggqns,52m,88Mi,1701830336.8686638
