POD,CPU,MEMORY,TIME
front-end-55b89655c7-hcmvm,2m,71Mi,1701803539.1886382
front-end-55b89655c7-hcmvm,21m,61Mi,1701803561.2650845
front-end-55b89655c7-hcmvm,69m,78Mi,1701803583.1549995
front-end-55b89655c7-hcmvm,77m,93Mi,1701803605.1260073
front-end-55b89655c7-hcmvm,59m,95Mi,1701803626.9485192
front-end-55b89655c7-hcmvm,71m,100Mi,1701803648.8644674
front-end-55b89655c7-hcmvm,86m,98Mi,1701803670.7463052
front-end-55b89655c7-hcmvm,66m,100Mi,1701803692.659679
front-end-55b89655c7-hcmvm,74m,100Mi,1701803714.5181146
front-end-55b89655c7-hcmvm,72m,101Mi,1701803736.4994075
front-end-55b89655c7-hcmvm,84m,101Mi,1701803758.3559105
front-end-55b89655c7-hcmvm,73m,100Mi,1701803780.467026
front-end-55b89655c7-hcmvm,78m,103Mi,1701803802.4156597
front-end-55b89655c7-hcmvm,82m,100Mi,1701803824.4827497
front-end-55b89655c7-hcmvm,79m,101Mi,1701803846.3976297
front-end-55b89655c7-hcmvm,106m,100Mi,1701803868.5158792
front-end-55b89655c7-hcmvm,77m,100Mi,1701803890.8499532
front-end-55b89655c7-hcmvm,83m,101Mi,1701803913.18572
front-end-55b89655c7-hcmvm,75m,101Mi,1701803935.3416214
front-end-55b89655c7-hcmvm,65m,99Mi,1701803957.6012306
front-end-55b89655c7-hcmvm,70m,101Mi,1701803979.7929718
front-end-55b89655c7-hcmvm,56m,98Mi,1701804002.1742034
front-end-55b89655c7-hcmvm,66m,99Mi,1701804024.4052737
front-end-55b89655c7-hcmvm,73m,103Mi,1701804046.6489594
front-end-55b89655c7-hcmvm,73m,103Mi,1701804068.7701514
front-end-55b89655c7-hcmvm,64m,101Mi,1701804090.746259
front-end-55b89655c7-hcmvm,67m,101Mi,1701804112.664099
front-end-55b89655c7-hcmvm,55m,100Mi,1701804134.6078
front-end-55b89655c7-hcmvm,57m,102Mi,1701804156.44809
front-end-55b89655c7-hcmvm,53m,98Mi,1701804178.3883748
front-end-55b89655c7-hcmvm,71m,99Mi,1701804200.3145864
