POD,CPU,MEMORY,TIME
front-end-55b89655c7-hrvc5,55m,70Mi,1701802462.5392923
front-end-55b89655c7-hrvc5,55m,70Mi,1701802484.4298966
front-end-55b89655c7-hrvc5,71m,79Mi,1701802506.4259644
front-end-55b89655c7-hrvc5,94m,101Mi,1701802528.367985
front-end-55b89655c7-hrvc5,79m,107Mi,1701802550.3869922
front-end-55b89655c7-hrvc5,85m,112Mi,1701802572.4127588
front-end-55b89655c7-hrvc5,69m,116Mi,1701802594.533282
front-end-55b89655c7-hrvc5,77m,120Mi,1701802616.693685
front-end-55b89655c7-hrvc5,66m,119Mi,1701802638.9640386
front-end-55b89655c7-hrvc5,79m,122Mi,1701802661.152161
front-end-55b89655c7-hrvc5,58m,113Mi,1701802683.3953168
front-end-55b89655c7-hrvc5,91m,114Mi,1701802705.4428246
front-end-55b89655c7-hrvc5,67m,110Mi,1701802727.6432538
front-end-55b89655c7-hrvc5,74m,109Mi,1701802749.5435047
front-end-55b89655c7-hrvc5,67m,110Mi,1701802771.5106356
front-end-55b89655c7-hrvc5,79m,103Mi,1701802793.5062637
front-end-55b89655c7-hrvc5,76m,105Mi,1701802815.5174685
front-end-55b89655c7-hrvc5,84m,104Mi,1701802837.4216826
front-end-55b89655c7-hrvc5,84m,104Mi,1701802859.4313025
front-end-55b89655c7-hrvc5,70m,107Mi,1701802881.301639
front-end-55b89655c7-hrvc5,70m,107Mi,1701802903.3451462
front-end-55b89655c7-hrvc5,75m,107Mi,1701802925.2406006
front-end-55b89655c7-hrvc5,78m,105Mi,1701802947.2491837
front-end-55b89655c7-hrvc5,64m,108Mi,1701802969.1436737
front-end-55b89655c7-hrvc5,60m,105Mi,1701802991.1137574
front-end-55b89655c7-hrvc5,54m,106Mi,1701803013.1511245
front-end-55b89655c7-hrvc5,61m,106Mi,1701803035.375885
front-end-55b89655c7-hrvc5,54m,106Mi,1701803057.5025234
front-end-55b89655c7-hrvc5,81m,106Mi,1701803079.7642138
front-end-55b89655c7-hrvc5,57m,104Mi,1701803101.8921478
front-end-55b89655c7-hrvc5,56m,106Mi,1701803124.1466768
front-end-55b89655c7-hrvc5,59m,100Mi,1701803146.2555783
front-end-55b89655c7-hrvc5,72m,101Mi,1701803168.2240942
front-end-55b89655c7-hrvc5,69m,105Mi,1701803190.0771394
front-end-55b89655c7-hrvc5,68m,103Mi,1701803212.0098357
front-end-55b89655c7-hrvc5,60m,107Mi,1701803233.9784048
front-end-55b89655c7-hrvc5,60m,106Mi,1701803255.9746048
front-end-55b89655c7-hrvc5,59m,107Mi,1701803277.837069
front-end-55b89655c7-hrvc5,51m,103Mi,1701803299.7386818
front-end-55b89655c7-hrvc5,44m,104Mi,1701803321.567956
front-end-55b89655c7-hrvc5,60m,107Mi,1701803343.6254866
front-end-55b89655c7-hrvc5,46m,106Mi,1701803365.5076466
