POD,CPU,MEMORY,TIME
front-end-55b89655c7-hv4tv,1m,71Mi,1701800648.8131611
front-end-55b89655c7-hv4tv,7m,73Mi,1701800670.6840184
front-end-55b89655c7-hv4tv,75m,81Mi,1701800692.497233
front-end-55b89655c7-hv4tv,75m,100Mi,1701800714.544391
front-end-55b89655c7-hv4tv,70m,100Mi,1701800736.3723466
front-end-55b89655c7-hv4tv,57m,102Mi,1701800758.2955477
front-end-55b89655c7-hv4tv,57m,101Mi,1701800780.1392746
front-end-55b89655c7-hv4tv,53m,100Mi,1701800802.1200979
front-end-55b89655c7-hv4tv,75m,102Mi,1701800824.1188736
front-end-55b89655c7-hv4tv,68m,103Mi,1701800846.0832307
front-end-55b89655c7-hv4tv,61m,99Mi,1701800867.9348137
front-end-55b89655c7-hv4tv,72m,101Mi,1701800889.8930836
front-end-55b89655c7-hv4tv,68m,101Mi,1701800911.7039766
front-end-55b89655c7-hv4tv,62m,99Mi,1701800933.7370582
front-end-55b89655c7-hv4tv,59m,103Mi,1701800955.6420493
