POD,CPU,MEMORY,TIME
front-end-55b89655c7-j6667,1m,71Mi,1701801937.521086
front-end-55b89655c7-j6667,77m,71Mi,1701801959.4014237
front-end-55b89655c7-j6667,71m,100Mi,1701801981.413463
front-end-55b89655c7-j6667,74m,103Mi,1701802003.2787788
front-end-55b89655c7-j6667,66m,108Mi,1701802025.3079915
front-end-55b89655c7-j6667,74m,111Mi,1701802047.2523315
front-end-55b89655c7-j6667,77m,115Mi,1701802069.279651
front-end-55b89655c7-j6667,77m,115Mi,1701802091.173412
front-end-55b89655c7-j6667,79m,111Mi,1701802113.1599796
front-end-55b89655c7-j6667,85m,110Mi,1701802135.1405902
front-end-55b89655c7-j6667,70m,108Mi,1701802157.1082287
front-end-55b89655c7-j6667,71m,105Mi,1701802178.951958
front-end-55b89655c7-j6667,84m,109Mi,1701802200.8370225
front-end-55b89655c7-j6667,62m,106Mi,1701802222.6388898
front-end-55b89655c7-j6667,69m,103Mi,1701802244.6238737
front-end-55b89655c7-j6667,56m,103Mi,1701802266.4611168
front-end-55b89655c7-j6667,68m,104Mi,1701802288.373658
front-end-55b89655c7-j6667,53m,103Mi,1701802310.2268732
front-end-55b89655c7-j6667,63m,103Mi,1701802332.2255614
