POD,CPU,MEMORY,TIME
front-end-55b89655c7-jbkrv,1m,70Mi,1701799336.6368876
front-end-55b89655c7-jbkrv,77m,80Mi,1701799358.671225
front-end-55b89655c7-jbkrv,77m,80Mi,1701799380.529961
front-end-55b89655c7-jbkrv,66m,106Mi,1701799402.583297
front-end-55b89655c7-jbkrv,75m,111Mi,1701799424.490913
front-end-55b89655c7-jbkrv,59m,117Mi,1701799446.5187943
front-end-55b89655c7-jbkrv,66m,119Mi,1701799468.4620395
front-end-55b89655c7-jbkrv,79m,121Mi,1701799490.493802
front-end-55b89655c7-jbkrv,83m,114Mi,1701799512.5215034
front-end-55b89655c7-jbkrv,57m,113Mi,1701799534.5250049
front-end-55b89655c7-jbkrv,72m,108Mi,1701799556.4962344
front-end-55b89655c7-jbkrv,68m,99Mi,1701799578.4520533
front-end-55b89655c7-jbkrv,59m,100Mi,1701799600.3259647
front-end-55b89655c7-jbkrv,75m,103Mi,1701799622.3455422
front-end-55b89655c7-jbkrv,47m,103Mi,1701799644.1939616
front-end-55b89655c7-jbkrv,79m,104Mi,1701799666.1532452
front-end-55b89655c7-jbkrv,76m,107Mi,1701799688.0305285
front-end-55b89655c7-jbkrv,64m,104Mi,1701799710.0066733
front-end-55b89655c7-jbkrv,78m,104Mi,1701799731.9783363
front-end-55b89655c7-jbkrv,57m,104Mi,1701799753.987099
front-end-55b89655c7-jbkrv,80m,105Mi,1701799775.8915071
front-end-55b89655c7-jbkrv,74m,105Mi,1701799797.9075518
front-end-55b89655c7-jbkrv,70m,106Mi,1701799819.7888162
front-end-55b89655c7-jbkrv,67m,104Mi,1701799841.8940105
front-end-55b89655c7-jbkrv,59m,105Mi,1701799863.7897394
front-end-55b89655c7-jbkrv,76m,103Mi,1701799885.789602
front-end-55b89655c7-jbkrv,74m,103Mi,1701799907.71371
front-end-55b89655c7-jbkrv,78m,105Mi,1701799929.7322206
front-end-55b89655c7-jbkrv,75m,107Mi,1701799951.753811
front-end-55b89655c7-jbkrv,66m,110Mi,1701799973.7404854
front-end-55b89655c7-jbkrv,66m,105Mi,1701799995.6407037
front-end-55b89655c7-jbkrv,74m,104Mi,1701800017.6872144
front-end-55b89655c7-jbkrv,79m,105Mi,1701800039.598684
front-end-55b89655c7-jbkrv,73m,105Mi,1701800061.6395006
front-end-55b89655c7-jbkrv,81m,109Mi,1701800083.4457107
front-end-55b89655c7-jbkrv,71m,106Mi,1701800105.3810666
front-end-55b89655c7-jbkrv,66m,107Mi,1701800127.2011824
front-end-55b89655c7-jbkrv,71m,103Mi,1701800149.1034517
front-end-55b89655c7-jbkrv,71m,103Mi,1701800171.0359447
front-end-55b89655c7-jbkrv,50m,104Mi,1701800192.9514759
front-end-55b89655c7-jbkrv,56m,105Mi,1701800214.854916
front-end-55b89655c7-jbkrv,67m,106Mi,1701800236.7858715
front-end-55b89655c7-jbkrv,63m,105Mi,1701800258.7019503
