POD,CPU,MEMORY,TIME
front-end-55b89655c7-jm64w,1m,71Mi,1701801259.230928
front-end-55b89655c7-jm64w,60m,71Mi,1701801281.1470287
front-end-55b89655c7-jm64w,84m,78Mi,1701801302.9871745
front-end-55b89655c7-jm64w,60m,99Mi,1701801324.9580183
front-end-55b89655c7-jm64w,67m,97Mi,1701801346.8401818
front-end-55b89655c7-jm64w,62m,99Mi,1701801368.9149036
front-end-55b89655c7-jm64w,52m,100Mi,1701801390.7794013
front-end-55b89655c7-jm64w,70m,103Mi,1701801412.7251387
front-end-55b89655c7-jm64w,82m,101Mi,1701801434.6550496
front-end-55b89655c7-jm64w,97m,101Mi,1701801456.6795485
front-end-55b89655c7-jm64w,74m,102Mi,1701801478.62003
front-end-55b89655c7-jm64w,73m,101Mi,1701801500.5770502
front-end-55b89655c7-jm64w,70m,100Mi,1701801522.44481
front-end-55b89655c7-jm64w,79m,102Mi,1701801544.4294903
front-end-55b89655c7-jm64w,84m,101Mi,1701801566.314175
front-end-55b89655c7-jm64w,69m,101Mi,1701801588.3963616
front-end-55b89655c7-jm64w,75m,100Mi,1701801610.3193386
front-end-55b89655c7-jm64w,61m,103Mi,1701801632.3002937
front-end-55b89655c7-jm64w,63m,100Mi,1701801654.1394703
front-end-55b89655c7-jm64w,53m,100Mi,1701801676.0114107
front-end-55b89655c7-jm64w,54m,100Mi,1701801697.8565488
front-end-55b89655c7-jm64w,71m,102Mi,1701801719.7663493
front-end-55b89655c7-jm64w,56m,95Mi,1701801741.5768857
front-end-55b89655c7-jm64w,58m,96Mi,1701801763.4878325
front-end-55b89655c7-jm64w,78m,98Mi,1701801785.3864925
