POD,CPU,MEMORY,TIME
front-end-55b89655c7-m7kwm,2m,66Mi,1701829470.6758018
front-end-55b89655c7-m7kwm,55m,63Mi,1701829492.3904188
front-end-55b89655c7-m7kwm,86m,79Mi,1701829514.0338678
front-end-55b89655c7-m7kwm,84m,91Mi,1701829535.739774
front-end-55b89655c7-m7kwm,71m,93Mi,1701829557.3691504
front-end-55b89655c7-m7kwm,80m,94Mi,1701829579.260503
front-end-55b89655c7-m7kwm,78m,95Mi,1701829601.1082919
front-end-55b89655c7-m7kwm,62m,95Mi,1701829623.047387
front-end-55b89655c7-m7kwm,74m,94Mi,1701829644.9565034
front-end-55b89655c7-m7kwm,49m,92Mi,1701829666.914564
front-end-55b89655c7-m7kwm,45m,95Mi,1701829688.797646
front-end-55b89655c7-m7kwm,54m,97Mi,1701829710.7754042
front-end-55b89655c7-m7kwm,39m,95Mi,1701829732.4237099
front-end-55b89655c7-m7kwm,51m,96Mi,1701829754.1227295
front-end-55b89655c7-m7kwm,57m,95Mi,1701829775.695623
front-end-55b89655c7-m7kwm,48m,95Mi,1701829797.477674
front-end-55b89655c7-m7kwm,60m,97Mi,1701829819.077671
front-end-55b89655c7-m7kwm,60m,97Mi,1701829840.742562
front-end-55b89655c7-m7kwm,51m,95Mi,1701829862.330677
front-end-55b89655c7-m7kwm,52m,96Mi,1701829884.015523
front-end-55b89655c7-m7kwm,53m,89Mi,1701829905.7480228
