POD,CPU,MEMORY,TIME
front-end-55b89655c7-m92j7,1m,70Mi,1701798155.1808302
front-end-55b89655c7-m92j7,29m,64Mi,1701798177.1429336
front-end-55b89655c7-m92j7,71m,78Mi,1701798199.0851867
front-end-55b89655c7-m92j7,64m,97Mi,1701798221.0913
front-end-55b89655c7-m92j7,89m,101Mi,1701798243.0039768
front-end-55b89655c7-m92j7,59m,100Mi,1701798265.0299177
front-end-55b89655c7-m92j7,56m,100Mi,1701798286.919417
front-end-55b89655c7-m92j7,68m,103Mi,1701798309.102002
front-end-55b89655c7-m92j7,77m,101Mi,1701798331.2300148
front-end-55b89655c7-m92j7,62m,102Mi,1701798353.430366
front-end-55b89655c7-m92j7,54m,102Mi,1701798375.5857258
front-end-55b89655c7-m92j7,50m,103Mi,1701798397.8127394
front-end-55b89655c7-m92j7,58m,100Mi,1701798420.0415978
front-end-55b89655c7-m92j7,50m,99Mi,1701798442.3981104
front-end-55b89655c7-m92j7,82m,101Mi,1701798464.3832452
front-end-55b89655c7-m92j7,72m,102Mi,1701798486.4337864
front-end-55b89655c7-m92j7,79m,103Mi,1701798508.3931153
front-end-55b89655c7-m92j7,76m,102Mi,1701798530.4234302
front-end-55b89655c7-m92j7,96m,103Mi,1701798552.2042613
front-end-55b89655c7-m92j7,81m,102Mi,1701798574.1007288
front-end-55b89655c7-m92j7,72m,100Mi,1701798595.951863
front-end-55b89655c7-m92j7,59m,101Mi,1701798617.8698018
front-end-55b89655c7-m92j7,56m,101Mi,1701798639.813421
front-end-55b89655c7-m92j7,66m,102Mi,1701798661.7468486
front-end-55b89655c7-m92j7,65m,102Mi,1701798683.677187
